retirement_year,capacity_kt,annual_emissions_kt_co2,facilities_retiring
1997,1799,582.8191955457521,5
1998,1628,10.464432738390872,7
1999,500,2.2674418604651154,3
2000,119,0.5396511627906975,1
2001,1130,8.350841831232708,4
2003,1030,6.60722502286818,1
2004,6277,7606.1397388036285,11
2005,5551,27.54873848051321,8
2006,190,0.8616279069767439,2
2007,265,1.3615355036934567,3
2008,145,0.6575581395348835,2
2009,130,1.0905128678520297,2
2010,266,3.412663798219293,1
2011,749,110.00488961537127,3
2012,1132,7.6765114435491135,3
2013,388,1.7595348837209297,3
2014,2528,2060.1822942674257,9
2015,9269,1991.0070687391553,19
2016,15413,18036.54260479302,25
2017,5632,5881.666607868394,16
2018,405,3.2474831726475895,1
2020,1630,246.59781368611692,4
2021,2528,1069.9667304189695,9
2022,8694,2178.4153156668062,14
2023,600,3.449478919869383,2
2024,220,1.1856642040716452,2
2025,190,0.8616279069767439,1
2026,430,1.9499999999999995,2
2029,580,5.4572583938435795,2
2030,2970,18.971264481759064,7
2031,2699,589.032935206503,5
2033,1130,415.7983597965358,6
2034,97,0.4398837209302325,1
2035,10,0.09868894731692579,1
2036,1100,1697.6178284197038,6
2037,1329,6.026860465116277,4
2038,800,3.627906976744185,4
2039,3387,573.4086001016773,5
2040,180,1.7764010517046644,1
2041,2360,4720.959743632797,3
2043,1934,1754.0839871212238,7
2044,1024,7.844127536689966,3
2046,8622,9783.944502427757,14
2047,130,269.15630958684886,1
2048,146,302.283239997538,1
2091,330,2.140156595753157,1
2095,2400,4055.4312261277237,2
