Company,CapacityTransitioned_kt,AbatementMtCO2,AnnualCostUSD,TechID,CostEffectiveness_USD_per_tCO2,BaselineEmissions_ktCO2,EmissionReductionShare
롯데엠시시,297.0,0.01937378144995476,-1336790.9200468785,1,-69000.00000000001,67.97818052615702,0.28500000000000014
폴리미래,405.0,0.0409890794801501,-2828246.484130357,1,-69000.00000000001,143.82133150929852,0.28500000000000014
코오롱인더스트리,137.0,0.008936727470181156,-616634.1954424998,1,-69000.00000000001,31.35693849186368,0.2850000000000002
롯데베르살리스엘라스토머스,196.0,0.01278539112522267,-882191.9876403643,1,-69000.00000000001,44.86102149200934,0.28500000000000014
비틀라카본코리아,193.0,0.012589696363101918,-868689.0490540323,1,-69000.0,44.174373203866345,0.2850000000000002
동서석유화학,602.0,0.03926941559889822,-2709589.6763239773,1,-69000.0,137.78742315402872,0.28500000000000025
금호피앤비화학,1888.0,0.12315723696132856,-8497849.350331672,1,-69000.0,432.13065600466143,0.28500000000000014
금호폴리켐,310.0,0.020221792085811374,-1395303.6539209848,1,-69000.0,70.95365644144336,0.28500000000000025
금호미쓰이화학,610.0,0.039791268297886886,-2745597.5125541952,1,-69000.0,139.61848525574337,0.2850000000000002
국도화학,530.0,0.03457274130800006,-2385519.150252004,1,-69000.0,121.30786423859668,0.2850000000000001
아케마,100.0,0.0065231587373585035,-450097.95287773677,1,-69000.0,22.888276271433337,0.2850000000000001
애경케미칼,218.0,0.01422048604744154,-981213.5372734662,1,-69000.0,49.89644227172467,0.28500000000000014
SK케미칼,160.0,0.010437053979773613,-720156.7246043793,1,-69000.0,36.621242034293346,0.28500000000000025
용산케미칼,38.0,0.00247880032019623,-171037.22209353987,1,-69000.0,8.697544983144667,0.28500000000000003
울산피피,600.0,0.06072456219281494,-4189994.7913042307,1,-69000.0,213.06863927303488,0.28500000000000003
SH에너지화학,100.0,0.008953013594131563,-617757.9379950778,1,-69000.0,31.41408278642653,0.28500000000000003
LXMMA,380.0,0.024788003201962325,-1710372.2209354006,1,-69000.0,86.9754498314467,0.2850000000000002
