Region,MaxDeployment_kt,TotalAbatementPotential_ktCO2,CAPEX_Million_USD,LCOA_USD_per_tCO2
Daesan,9605.0,7815.5,943335.75,8.98
Ulsan,8875.0,7288.0,828166.5,11.48
Yeosu,36127.0,30194.1,3774595.0,-4.13
