FacilityID,Company,Region,ProcessType,TechID,TechnologyCategory,DeploymentLevel,AbatementAchieved_ktCO2,AnnualCost_USD,LCOA_USD_per_tCO2
F001,LG Chem,Yeosu,NCC,NCC_LT_ElecCompr,Electric motor,1.0,1100.59312,7248782237.001545,6586.250727245637
F002,GS Caltex,Yeosu,NCC,NCC_LT_ElecCompr,Electric motor,1.0,929.8612799999999,6226476984.287691,6696.13534643328
F004,여천NCC,Yeosu,NCC,NCC_LT_ElecCompr,Electric motor,0.84886045,509.59089333278393,3423218716.365706,6717.582203986135
F005,한화 토탈,Daesan,NCC,NCC_LT_ElecCompr,Electric motor,1.0,606.3496,3623406743.5007725,5975.77163982754
F006,현대케미칼,Daesan,NCC,NCC_LT_ElecCompr,Electric motor,1.0,491.6076800000001,3030127685.473373,6163.7110418481925
F007,SK Chemicals,Ulsan,NCC,NCC_LT_ElecCompr,Electric motor,1.0,464.9306399999999,2817583338.130146,6060.222957407467
F008,대한유화,Ulsan,NCC,NCC_LT_ElecCompr,Electric motor,1.0,498.13567999999987,2425677148.378699,4869.510950066254
F008,대한유화,Ulsan,BTX,BTX_LT_ElecCompr,Electric motor,1.0,155.316013125,975340390.6014794,6279.715600325866
