scenario,baseline_eff,h2_eff,heat_recovery_gj,baseline_heat_gj,required_heat_gj,h2_energy_gj,h2_ton_per_ton
Conservative (낮은 효율),0.7,0.8,0.0,28.161403427112703,28.161403427112703,35.20175428389088,0.29334795236575734
Moderate (중간),0.7,0.85,5.0,28.161403427112703,23.161403427112703,27.248709914250238,0.227072582618752
Optimistic (높은 효율),0.7,0.9,10.0,28.161403427112703,18.161403427112703,20.179337141236335,0.16816114284363612
Current Model,0.7,0.85,9.6,28.161403427112703,18.5614034271127,21.836945208367883,0.18197454340306568
