year,naphtha_usd_per_gj,naphtha_usd_per_mwh_thermal,grid_elec_usd_per_kwh,grid_elec_usd_per_mwh,re_ppa_usd_per_mwh,h2_usd_per_kg,h2_usd_per_gj,elec_vs_naphtha_ratio,re_vs_grid_ratio
2025,15.0,54.0,0.1,100.0,58.0,6.0,50.0,1.8518518518518519,0.58
2030,15.0,54.0,0.1,100.0,52.8,5.04,42.0,1.8518518518518519,0.528
2035,15.0,54.0,0.1,100.0,47.6,4.08,34.0,1.8518518518518519,0.47600000000000003
2040,15.0,54.0,0.1,100.0,42.4,3.12,26.000000000000004,1.8518518518518519,0.424
2045,15.0,54.0,0.1,100.0,37.2,2.16,18.000000000000004,1.8518518518518519,0.37200000000000005
2050,15.0,54.0,0.1,100.0,32.0,1.2,10.0,1.8518518518518519,0.32
