year,emissions_mt_co2,active_facilities
2023,48.48039060291264,234
2024,48.48039060291264,234
2025,48.48039060291264,234
2026,48.48039060291264,234
2027,48.48039060291264,234
2028,48.48039060291264,234
2029,16.32741985564866,69
2030,16.311872762625402,62
2031,15.806540582392842,57
2032,15.806540582392842,57
2033,15.447630989369584,51
2034,15.447191105648653,50
2035,15.447121338206793,49
2036,14.060095030067258,43
2037,14.05406816960214,39
2038,14.050440262625397,35
2039,13.555743402160282,30
2040,13.554487588206793,29
2041,9.558344274253308,26
2042,9.558344274253308,26
2043,8.174392461667805,19
2044,8.168283624458503,16
2045,8.168283624458503,16
2046,0.4508641860465118,2
2047,0.23850062015503887,1
2048,0.0,0
2049,0.0,0
2050,0.0,0
