facility_id,company,product,start_year,retirement_year,capacity_kt,annual_emissions_kt_co2
HD현대케미칼_대산_자일렌_2016,HD현대케미칼,자일렌,2016,2041,1350,3304.470561343097
롯데케미칼_여수_자일렌_1992,롯데케미칼,자일렌,1992,2017,79,193.3727217378553
LG화학_여수_자일렌_1992,LG화학,자일렌,1992,2017,60,146.86535828191543
여천NCC_여수_자일렌_1979,여천NCC,자일렌,1979,2004,204,499.34221815851254
GS칼텍스_여수_자일렌_1990,GS칼텍스,자일렌,1990,2015,350,856.71458997784
대한유화_온산_자일렌_2008,대한유화,자일렌,2008,2033,47,115.04453065416709
S-Oil_온산_자일렌_1991,S-Oil,자일렌,1991,2016,450,1101.4901871143657
SK지오센트릭_울산_자일렌_2070,SK지오센트릭,자일렌,2070,2095,894,2188.29383840054
롯데케미칼_울산_O-X_1980,롯데케미칼,O-X,1980,2005,210,1.10425081414974
SK지오센트릭_울산_O-X_1990,SK지오센트릭,O-X,1990,2015,200,1.0516674420473715
롯데케미칼_울산_M-X_1998,롯데케미칼,M-X,1998,2023,360,1.8930013956852687
HD현대오일뱅크_대산_P-X_1997,HD현대오일뱅크,P-X,1997,2022,1460,0.0
한화토탈에너지스_대산_P-X_1997,한화토탈에너지스,P-X,1997,2022,2000,0.0
GS칼텍스_여수_P-X_1990,GS칼텍스,P-X,1990,2015,1350,0.0
S-Oil_온산_P-X_1997,S-Oil,P-X,1997,2022,1900,0.0
롯데케미칼_울산_P-X_1980,롯데케미칼,P-X,1980,2005,750,0.0
SK지오센트릭_울산_P-X_1990,SK지오센트릭,P-X,1990,2015,830,0.0
울산아로마틱스_울산_P-X_2014,울산아로마틱스,P-X,2014,2039,1000,0.0
SK인천석유화학_인천_P-X_2014,SK인천석유화학,P-X,2014,2039,1500,0.0
SK지오센트릭_울산_C-H_1974,SK지오센트릭,C-H,1974,1999,160,0.725581395348837
카프로_울산_C-H_2000,카프로,C-H,2000,2025,190,0.8616279069767439
롯데케미칼_대산_SM_2005,롯데케미칼,SM,2005,2030,350,2.2698630561018334
LG화학_대산_SM_2006,LG화학,SM,2006,2031,577,3.7420313810593084
한화토탈에너지스_대산_SM_1991,한화토탈에너지스,SM,1991,2016,1071,6.94578095167161
여천NCC_여수_SM_1986,여천NCC,SM,1986,2011,351,2.2763483791192676
SKpicglobal_울산_SM_1990,SKpicglobal,SM,1990,2015,400,2.5941292069735242
LG화학_여수_EDC_1996,LG화학,EDC,1996,2021,810,5.253111644121385
한화솔루션_여수_EDC_1980,한화솔루션,EDC,1980,2005,1586,10.285722305650022
한화솔루션_울산_EDC_1991,한화솔루션,EDC,1991,2016,385,2.496849361712017
LG화학_대산_VCM_1997,LG화학,VCM,1997,2022,230,1.4916242940097764
LG화학_여수_VCM_1990,LG화학,VCM,1990,2015,720,4.669432572552344
한화솔루션_여수_VCM_1979,한화솔루션,VCM,1979,2004,583,3.7809433191639115
한화솔루션_울산_VCM_1972,한화솔루션,VCM,1972,1997,264,1.7121252766025257
롯데케미칼_여수_PC_2008,롯데케미칼,PC,2008,2033,480,2.176744186046511
LG화학_여수_PC_2001,LG화학,PC,2001,2026,170,0.7709302325581393
삼양화성_전주_PC_1999,삼양화성,PC,1999,2024,120,0.5441860465116277
HD현대케미칼_대산_LDPE_2021,HD현대케미칼,LDPE,2021,2046,300,3.207390787800087
LG화학_대산_LDPE_2006,LG화학,LDPE,2006,2031,280,2.993564735280082
한화토탈에너지스_대산_LDPE_1991,한화토탈에너지스,LDPE,1991,2016,435,4.650716642310127
