Year,BAU_Emissions,Target_Emissions,Required_Abatement,Reduction_Percent
2025,59.99716268711269,70.0,-10.002837312887308,-16.67218392485067
2030,51.75242542166703,30.0,21.752425421667027,42.03170236840727
2035,51.74504152345076,20.0,31.74504152345076,61.34895361725425
2040,47.57441122450152,10.0,37.57441122450152,78.9802968810051
2045,23.40635671498137,7.0,16.40635671498137,70.09359429475151
2050,20.15247789786468,2.5,17.65247789786468,87.59457763620773
