Year,BAU_Emissions,Target_Emissions,Optimized_Emissions,Abatement,Gap
2025,59.99716268711269,59.99716268711269,45.17716268711269,14.819999999999999,0.0
2026,51.63503663383539,57.59727617962818,36.81503663383539,14.819999999999999,0.0
2027,51.62736012239184,55.19738967214368,36.80736012239184,14.819999999999999,0.0
2028,51.62560058750813,52.79750316465917,36.80560058750813,14.819999999999999,0.0
2029,49.565418293240704,50.39761665717466,34.745418293240704,14.819999999999999,0.0
2030,47.57441122450152,47.997730149690156,32.75441122450152,14.819999999999999,0.0
2031,29.53786861970854,45.597843642205646,14.717868619708542,14.819999999999999,0.0
2032,23.656202011840136,43.197957134721136,8.836202011840138,14.819999999999999,0.0
2033,23.65295452866749,40.798070627236626,8.832954528667491,14.819999999999999,0.0
2034,23.65295452866749,38.39818411975212,8.832954528667491,14.819999999999999,0.0
2035,23.40635671498137,35.99829761226761,8.586356714981372,14.819999999999999,0.0
2036,22.336389984562405,33.59841110478311,7.516389984562407,14.819999999999999,0.0
2037,20.1579746688956,31.1985245972986,5.337974668895603,14.819999999999999,0.0
2038,20.15452518997573,28.79863808981409,5.33452518997573,14.819999999999999,0.0
2039,20.15333952577166,26.39875158232958,5.333339525771661,14.819999999999999,0.0
2040,20.15247789786468,23.998865074845078,5.332477897864683,14.819999999999999,0.0
2041,20.150527897864684,21.598978567360568,5.330527897864686,14.819999999999999,0.0
2042,20.150527897864684,19.199092059876058,5.330527897864686,14.819999999999999,0.0
2043,20.150527897864684,16.799205552391555,5.330527897864686,14.819999999999999,0.0
2044,20.145070639470845,14.399319044907045,5.325070639470846,14.819999999999999,0.0
2045,20.12609937498909,11.999432537422535,5.30609937498909,14.819999999999999,0.0
2046,19.537066439782585,9.599546029938033,4.717066439782586,14.819999999999999,0.0
2047,19.537066439782585,7.199659522453523,4.717066439782586,14.819999999999999,0.0
2048,19.12126807998605,4.799773014969013,4.30126807998605,14.819999999999999,0.0
2049,19.12082819626512,2.39988650748451,2.3998865229184254,16.720941673346694,1.5433915478979543e-08
2050,19.120729507317805,0.0,-2.574832791424342e-08,19.120729533066132,0.0
