DeploymentID,TechID,FacilityID,Region,Company,TechGroup,Technology,BaselineCapacity_kt,MaxDeployment_kt,AbatementPotential_tCO2_per_t,TotalAbatementPotential_ktCO2,LCOA_USD_per_tCO2,CAPEX_Million_USD,CommercialYear,TRL,CumulativeAbatement_MtCO2
BTX_LT_ElecCompr_Yeosu_LG_Chem,BTX_LT_ElecCompr,Yeosu_LG_Chem,Yeosu,LG Chem,BTX,Electric motor,800,720.0,0.2,144.0,-125.80950854015407,23040.0,2023,9,0.144
BTX_LT_ElecCompr_Yeosu_Lotte_Chemical,BTX_LT_ElecCompr,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Electric motor,700,630.0,0.2,126.0,-123.78229547446179,20160.0,2023,9,0.27
BTX_LT_ElecCompr_Yeosu_GS_Caltex,BTX_LT_ElecCompr,Yeosu_GS_Caltex,Yeosu,GS Caltex,BTX,Electric motor,600,540.0,0.2,108.0,-121.07934472020543,17280.0,2023,9,0.378
BTX_LT_ElecCompr_Daesan_HD_Hyundai,BTX_LT_ElecCompr,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,BTX,Electric motor,500,450.0,0.2,90.0,-114.87113094713588,13680.0,2023,9,0.468
BTX_LT_ElecCompr_Yeosu_Hanwha_Chemical,BTX_LT_ElecCompr,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,BTX,Electric motor,400,360.0,0.2,72.0,-111.61901708030815,11520.0,2023,9,0.54
BTX_LT_ElecCompr_Ulsan_KPIC,BTX_LT_ElecCompr,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,BTX,Electric motor,400,360.0,0.2,72.0,-107.33847130448072,10368.0,2023,9,0.612
BTX_LT_ElecCompr_Daesan_LG_Chem,BTX_LT_ElecCompr,Daesan_LG_Chem,Daesan,LG Chem,BTX,Electric motor,300,270.0,0.2,54.0,-100.49143293449202,8208.0,2023,9,0.666
BTX_LT_ElecCompr_Ulsan_SK_Innovation,BTX_LT_ElecCompr,Ulsan_SK_Innovation,Ulsan,SK Innovation,BTX,Electric motor,300,270.0,0.2,54.0,-98.82417642857317,7776.0,2023,9,0.72
NCC_LT_ElecCompr_Yeosu_LG_Chem,NCC_LT_ElecCompr,Yeosu_LG_Chem,Yeosu,LG Chem,NCC,Electric motor,3380,3042.0,0.3,912.6,-97.55095068493785,106470.0,2023,9,1.6325999999999998
NCC_LT_ElecCompr_Yeosu_Lotte_Chemical,NCC_LT_ElecCompr,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,Electric motor,1000,900.0,0.3,270.0,-91.72221331508989,31500.0,2023,9,1.9025999999999998
