FacilityID,Company,Location,Product,TechID,TransitionFraction,CapacityTransitioned_kt,EmissionsBefore_ktCO2,EmissionsAfter_ktCO2,AbatementMtCO2,AnnualCostUSD,CostPerTonCO2,StartYear,FacilityAge
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,EE_001,1.0,1100.0,1308.8088206914956,935.7983067944197,0.37301051389707596,-25737725.45889824,-69,1991,39
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,EE_001,1.0,1525.0,1814.4849559586648,1297.3567435104455,0.5171282124482193,-35681846.65892713,-69,1991,39
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,EE_001,1.0,1230.0,1463.486226773218,1046.3926521428511,0.4170935746303669,-28779456.649495315,-69,1992,38
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,EE_001,1.0,850.0,1011.3522705343375,723.1168734320515,0.288235397102286,-19888242.400057733,-69,2021,9
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,EE_001,1.0,1300.0,1546.774060817222,1105.943453484314,0.44083060733290813,-30417311.90597066,-69,1991,39
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,EE_001,1.0,2285.0,2718.7528684364247,1943.9083009320443,0.7748445675043804,-53464275.15780224,-69,1979,51
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,EE_001,1.0,900.0,1070.8435805657691,765.6531601045251,0.305190420461244,-21058139.011825837,-69,2021,9
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,EE_001,1.0,900.0,1070.8435805657691,765.6531601045251,0.305190420461244,-21058139.011825837,-69,1991,39
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,EE_001,1.0,660.0,785.2852924148975,561.4789840766517,0.2238063083382458,-15442635.275338959,-69,1989,41
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,EE_001,1.0,1030.0,1225.520986647491,876.2475054529563,0.34927348119453483,-24099870.202422902,-69,2021,9
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,EE_001,1.0,182.0,216.54836851441107,154.8320834878039,0.06171628502660715,-4258423.666835894,-69,2018,12
롯데케미칼_울산_M-X_1998,롯데케미칼,울산,M-X,EE_001,1.0,360.0,418.6088532917559,299.3053301036055,0.11930352318815039,-8231943.099982377,-69,1998,32
롯데케미칼_울산_O-X_1980,롯데케미칼,울산,O-X,EE_001,1.0,210.0,214.40941266163108,153.3027300530662,0.06110668260856488,-4216361.099990976,-69,1980,50
SK지오센트릭_울산_O-X_1990,SK지오센트릭,울산,O-X,EE_001,1.0,200.0,204.19944063012483,146.00260005053926,0.05819684057958557,-4015581.9999914044,-69,1990,40
롯데케미칼_대산_LDPE_2005,롯데케미칼,대산,LDPE,EE_001,1.0,500.0,389.0416852153865,278.1648049290014,0.11087688028638513,-7650504.739760574,-69,2005,25
HD현대케미칼_대산_LDPE_2021,HD현대케미칼,대산,LDPE,EE_001,1.0,300.0,233.4250111292319,166.89888295740082,0.0665261281718311,-4590302.843856345,-69,2021,9
LG화학_대산_LDPE_2006,LG화학,대산,LDPE,EE_001,1.0,280.0,217.86334372061643,155.77229076024076,0.06209105296037566,-4284282.654265921,-69,2006,24
LG화학_여수_LDPE_1990,LG화학,여수,LDPE,EE_001,1.0,180.0,140.05500667753915,100.1393297744405,0.039915676903098656,-2754181.7063138075,-69,1990,40
한화솔루션_여수_LDPE_1979,한화솔루션,여수,LDPE,EE_001,1.0,337.0,262.2140958351705,187.4830785221469,0.07473101731302359,-5156440.194598628,-69,1979,51
