TechID,Year,Build_share,Share,Abatement_tCO2,Activity,Cap,Abate_per_activity
ELEC,2050,0.2,0.32,16000000.0,100000000.0,1.0,0.5
H2,2050,0.2,0.4,24000000.0,100000000.0,1.0,0.6
