Year,BAU_Emissions,Target_Emissions,Optimized_Emissions,Abatement,Gap
2025,59.99716268711269,59.99716268711269,45.17716268711269,14.819999999999999,0.0
2026,59.392721123974056,57.59727617962818,44.572721123974056,14.819999999999999,0.0
2027,59.392721123974056,55.19738967214368,44.572721123974056,14.819999999999999,0.0
2028,59.38611389895119,52.79750316465917,44.56611389895119,14.819999999999999,0.0
2029,51.779974160147546,50.39761665717466,36.959974160147546,14.819999999999999,0.0
2030,51.75242542166703,47.997730149690156,36.93242542166703,14.819999999999999,0.0
2031,51.751563793760056,45.597843642205646,36.931563793760056,14.819999999999999,0.0
2032,51.75020225825636,43.197957134721136,36.93020225825636,14.819999999999999,0.0
2033,51.74954470011683,40.798070627236626,36.92954470011683,14.819999999999999,0.0
2034,51.74845418724898,38.39818411975212,36.92845418724898,14.819999999999999,0.0
2035,51.74504152345076,35.99829761226761,35.99829757555497,15.74674394789579,0.0
2036,51.63503663383539,33.59841110478311,33.59841112481736,18.036625509018034,2.0034249814671057e-08
2037,51.62736012239184,31.1985245972986,31.198524598076812,20.42883552431503,7.782112732002133e-10
2038,51.62560058750813,28.79863808981409,28.7986380929931,22.82696249451503,3.179010832354834e-09
2039,49.565418293240704,26.39875158232958,26.398751579325676,23.166666713915028,0.0
2040,47.57441122450152,23.998865074845078,23.99886506298649,23.575546161515028,0.0
2041,29.53786861970854,21.598978567360568,14.717868619708542,14.819999999999999,0.0
2042,23.656202011840136,19.199092059876058,8.836202011840138,14.819999999999999,0.0
2043,23.65295452866749,16.799205552391555,8.832954528667491,14.819999999999999,0.0
2044,23.65295452866749,14.399319044907045,8.832954528667491,14.819999999999999,0.0
2045,23.40635671498137,11.999432537422535,8.586356714981372,14.819999999999999,0.0
2046,22.336389984562405,9.599546029938033,7.516389984562407,14.819999999999999,0.0
2047,20.1579746688956,7.199659522453523,5.337974668895603,14.819999999999999,0.0
2048,20.15452518997573,4.799773014969013,4.799773016629038,15.354752173346691,1.6600250063447675e-09
2049,20.15333952577166,2.39988650748451,2.3998865297796783,17.75345299599198,2.2295168378150265e-08
2050,20.15247789786468,0.0,-2.0503492237367027e-09,20.15247789991503,0.0
