Year,Technology,Capacity_kt,Share
2023,Electric motor,0.0,0.0
2024,Electric motor,1284.2,0.5297636236128873
2024,Heat pump,1139.9,0.4702363763871128
2025,Electric heater,1817.2,0.272631800042008
2025,Electric motor,2568.4,0.385333213310529
2025,Heat pump,2279.8,0.342034986647463
2026,Electric heater,2986.8000000000006,0.23713230915803266
2026,Electric motor,3852.6000000000004,0.30587114445635344
2026,Heat pump,5756.100000000001,0.45699654638561393
2027,Electric heater,3982.4,0.2331070007024116
2027,Electric motor,5136.8,0.3006789978927652
2027,Heat pump,7964.8,0.4662140014048232
2028,E-cracker,1796.0,0.07757764243445207
2028,Electric heater,4978.0,0.21502310915295236
2028,Electric motor,6421.0,0.2773530301066909
2028,Heat pump,9956.0,0.4300462183059047
2029,E-cracker,2155.2000000000003,0.07757764243445207
2029,Electric heater,5973.600000000001,0.21502310915295236
2029,Electric motor,7705.200000000001,0.2773530301066908
2029,Heat pump,11947.200000000003,0.4300462183059047
2030,E-cracker,2514.4,0.06908755193106632
2030,Electric furnace,840.0000000000001,0.023080473919064474
2030,Electric heater,6969.200000000001,0.19149099861517158
2030,Electric motor,8989.400000000001,0.24699953839052166
2030,H2-furnace,3143.0000000000005,0.08635943991383291
2030,Heat pump,13938.400000000001,0.38298199723034315
2031,E-cracker,2873.6000000000004,0.06908755193106632
2031,Electric furnace,960.0,0.023080473919064468
2031,Electric heater,7964.8,0.19149099861517155
2031,Electric motor,10273.6,0.2469995383905216
2031,H2-furnace,3592.0,0.08635943991383288
2031,Heat pump,15929.6,0.3829819972303431
2032,E-cracker,2873.6000000000004,0.06648527588057823
2032,Electric extraction,348.0,0.008051529790660225
2032,Electric furnace,960.0,0.022211116663890276
2032,Electric heater,7964.8,0.184278231254743
2032,Electric motor,10273.6,0.2376959668313991
2032,H2-furnace,3592.0,0.08310659485072278
2032,H2-reformer,1280.0,0.029614822218520364
2032,Heat pump,15929.6,0.368556462509486
2033,E-cracker,2873.6000000000004,0.06648527588057823
2033,Electric extraction,348.0,0.008051529790660225
2033,Electric furnace,960.0,0.022211116663890276
2033,Electric heater,7964.8,0.184278231254743
2033,Electric motor,10273.6,0.2376959668313991
2033,H2-furnace,3592.0,0.08310659485072278
2033,H2-reformer,1280.0,0.029614822218520364
2033,Heat pump,15929.6,0.368556462509486
2034,E-cracker,2873.6000000000004,0.06648527588057823
2034,Electric extraction,348.0,0.008051529790660225
2034,Electric furnace,960.0,0.022211116663890276
2034,Electric heater,7964.8,0.184278231254743
2034,Electric motor,10273.6,0.2376959668313991
2034,H2-furnace,3592.0,0.08310659485072278
2034,H2-reformer,1280.0,0.029614822218520364
2034,Heat pump,15929.6,0.368556462509486
2035,E-cracker,2873.6000000000004,0.06577911256798578
2035,Electric extraction,348.0,0.007966011683483801
2035,Electric furnace,960.0,0.021975204644093246
2035,Electric heater,7964.8,0.18232094786382697
2035,Electric motor,10273.6,0.23517131503287123
2035,H2-furnace,3592.0,0.08222389070998222
2035,H2-process,464.0,0.010621348911311735
2035,H2-reformer,1280.0,0.029300272858790992
2035,Heat pump,15929.6,0.36464189572765393
2036,E-cracker,2873.6000000000004,0.06577911256798578
2036,Electric extraction,348.0,0.007966011683483801
2036,Electric furnace,960.0,0.021975204644093246
2036,Electric heater,7964.8,0.18232094786382697
2036,Electric motor,10273.6,0.23517131503287123
2036,H2-furnace,3592.0,0.08222389070998222
2036,H2-process,464.0,0.010621348911311735
2036,H2-reformer,1280.0,0.029300272858790992
2036,Heat pump,15929.6,0.36464189572765393
2037,E-cracker,2873.6000000000004,0.06577911256798578
2037,Electric extraction,348.0,0.007966011683483801
2037,Electric furnace,960.0,0.021975204644093246
2037,Electric heater,7964.8,0.18232094786382697
2037,Electric motor,10273.6,0.23517131503287123
2037,H2-furnace,3592.0,0.08222389070998222
2037,H2-process,464.0,0.010621348911311735
2037,H2-reformer,1280.0,0.029300272858790992
2037,Heat pump,15929.6,0.36464189572765393
2038,E-cracker,2873.6000000000004,0.06577911256798578
2038,Electric extraction,348.0,0.007966011683483801
2038,Electric furnace,960.0,0.021975204644093246
2038,Electric heater,7964.8,0.18232094786382697
2038,Electric motor,10273.6,0.23517131503287123
2038,H2-furnace,3592.0,0.08222389070998222
2038,H2-process,464.0,0.010621348911311735
2038,H2-reformer,1280.0,0.029300272858790992
2038,Heat pump,15929.6,0.36464189572765393
2039,E-cracker,2873.6000000000004,0.06577911256798578
2039,Electric extraction,348.0,0.007966011683483801
