Region,Facilities,Companies,Baseline_2025_Mt,BAU_2050_Mt,NCC_Cap_2050_kt,NCC_Elec_RE_TWh,Grid_RE_TWh,Total_RE_TWh,RE_Capacity_GW,RE_Share_Pct
Yeosu,87,21,26.423608970846168,30.38715031647309,12380.9,126.82824271721506,4.340785597160736,131.1690283143758,49.9121112307366,41.288213891507034
Daesan,57,9,22.399001056081694,25.758851214493948,9939.449999999999,101.8183635337999,7.356376602444834,109.17474013624474,41.54289959522251,34.36504851962028
Ulsan,71,30,10.41725760923378,11.979846250618845,3939.8999999999996,40.359795611107074,4.9725538543824195,45.33234946548949,17.24975246023192,14.2693116278162
Onsan,14,2,6.628949802532625,7.623292272912518,2854.2999999999997,29.239057999640327,2.5618268749921533,31.80088487463248,12.100793331290898,10.009998194818639
Incheon,2,1,0.2243159600744375,0.2579633540856031,0.0,0.0,0.13131340456543578,0.13131340456543578,0.049967048921398693,0.041333659356882685
Gwangyang,3,1,0.09424586677716332,0.1083827467937378,0.0,0.0,0.05302207680764716,0.05302207680764716,0.02017582831341216,0.016689815243268985
Busan/Iksan/Siheung,1,1,0.0019223844518624072,0.002210742119641768,0.0,0.0,0.01000348679168471,0.01000348679168471,0.0038065018233199048,0.0031488081266107626
Gunsan,3,3,0.0013473164105181031,0.0015494138720958184,0.0,0.0,0.007011012757505679,0.007011012757505679,0.002667813073632298,0.0022068639071884744
Jeonju,3,2,0.0007544452188441143,0.0008676120016707314,0.0,0.0,0.003925896703151734,0.003925896703151734,0.0014938724136802641,0.0012357586610095065
Naju,2,1,0.000652885285538176,0.0007508180783689023,0.0,0.0,0.003397410608496693,0.003397410608496693,0.0012927742041463825,0.0010694065335659193
진해,1,1,0.0005130741012193226,0.0005900352164022209,0.0,0.0,0.0026698769799821257,0.0026698769799821257,0.0010159349238896976,0.0008404000031875774
Pohang,2,1,0.0003627140475212088,0.0004171211546493901,0.0,0.0,0.001887450338053718,0.001887450338053718,0.0007182078911924345,0.000594114740869955
Gumi,1,1,0.0001886113047110286,0.00021690300041768288,0.0,0.0,0.0009814741757879337,0.0009814741757879337,0.0003734681034200661,0.0003089396652523767
Gimcheon,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
