scenario,year,technology,total_cost_usd_per_tco2,abatement_potential_mtco2
baseline,2025,Heat_Pump,-720.6545869060999,5.112176825659369
baseline,2025,NCC-H2,1000000000.0,37.60323707441514
baseline,2025,NCC-Electricity,-47.61904761904766,37.60323707441514
baseline,2025,RE_PPA,-105.0,7.214952205225041
baseline,2030,Heat_Pump,-748.0374651997496,5.112176825659369
baseline,2030,NCC-H2,18.264840182648403,37.60323707441514
baseline,2030,NCC-Electricity,-111.88811188811188,37.60323707441514
baseline,2030,RE_PPA,-131.11111111111111,7.126964983210102
baseline,2040,Heat_Pump,-799.6559885344132,5.112176825659369
baseline,2040,NCC-H2,-256.5905096660809,37.60323707441514
baseline,2040,NCC-Electricity,-118.81188118811879,37.60323707441514
baseline,2040,RE_PPA,-205.7142857142857,6.886999832260267
baseline,2050,Heat_Pump,-849.7008952427592,5.112176825659369
baseline,2050,NCC-H2,-319.8959687906372,37.60323707441514
baseline,2050,NCC-Electricity,-120.95032397408208,37.60323707441514
baseline,2050,RE_PPA,-340.0,6.493456984702537
no_fossil_savings,2025,Heat_Pump,286.05682248987324,5.112176825659369
no_fossil_savings,2025,NCC-H2,1000000000.0,37.60323707441514
no_fossil_savings,2025,NCC-Electricity,5873.015873015878,37.60323707441514
no_fossil_savings,2025,RE_PPA,-105.0,7.214952205225041
no_fossil_savings,2030,Heat_Pump,258.6739441962237,5.112176825659369
no_fossil_savings,2030,NCC-H2,1721.461187214612,37.60323707441514
no_fossil_savings,2030,NCC-Electricity,2496.503496503496,37.60323707441514
no_fossil_savings,2030,RE_PPA,-131.11111111111111,7.126964983210102
no_fossil_savings,2040,Heat_Pump,207.05542086156004,5.112176825659369
no_fossil_savings,2040,NCC-H2,398.9455184534271,37.60323707441514
no_fossil_savings,2040,NCC-Electricity,1112.211221122112,37.60323707441514
no_fossil_savings,2040,RE_PPA,-205.7142857142857,6.886999832260267
no_fossil_savings,2050,Heat_Pump,157.01051415321405,5.112176825659369
no_fossil_savings,2050,NCC-H2,165.14954486345903,37.60323707441514
no_fossil_savings,2050,NCC-Electricity,684.6652267818575,37.60323707441514
no_fossil_savings,2050,RE_PPA,-340.0,6.493456984702537
no_learning,2025,Heat_Pump,-720.6545869060999,5.112176825659369
no_learning,2025,NCC-H2,1000000000.0,37.60323707441514
no_learning,2025,NCC-Electricity,-47.61904761904766,37.60323707441514
no_learning,2025,RE_PPA,-105.0,7.214952205225041
no_learning,2030,Heat_Pump,-744.8902319471142,5.112176825659369
no_learning,2030,NCC-H2,18.264840182648403,37.60323707441514
no_learning,2030,NCC-Electricity,-111.88811188811188,37.60323707441514
no_learning,2030,RE_PPA,-131.11111111111111,7.126964983210102
no_learning,2040,Heat_Pump,-793.3615220291424,5.112176825659369
no_learning,2040,NCC-H2,-256.5905096660809,37.60323707441514
no_learning,2040,NCC-Electricity,-118.81188118811879,37.60323707441514
no_learning,2040,RE_PPA,-205.7142857142857,6.886999832260267
no_learning,2050,Heat_Pump,-841.8328121111708,5.112176825659369
no_learning,2050,NCC-H2,-319.8959687906372,37.60323707441514
no_learning,2050,NCC-Electricity,-120.95032397408208,37.60323707441514
no_learning,2050,RE_PPA,-340.0,6.493456984702537
no_fossil_no_learning,2025,Heat_Pump,286.05682248987324,5.112176825659369
no_fossil_no_learning,2025,NCC-H2,1000000000.0,37.60323707441514
no_fossil_no_learning,2025,NCC-Electricity,5873.015873015878,37.60323707441514
no_fossil_no_learning,2025,RE_PPA,-105.0,7.214952205225041
no_fossil_no_learning,2030,Heat_Pump,261.8211774488591,5.112176825659369
no_fossil_no_learning,2030,NCC-H2,1721.461187214612,37.60323707441514
no_fossil_no_learning,2030,NCC-Electricity,2496.503496503496,37.60323707441514
no_fossil_no_learning,2030,RE_PPA,-131.11111111111111,7.126964983210102
no_fossil_no_learning,2040,Heat_Pump,213.34988736683073,5.112176825659369
no_fossil_no_learning,2040,NCC-H2,398.9455184534271,37.60323707441514
no_fossil_no_learning,2040,NCC-Electricity,1112.211221122112,37.60323707441514
no_fossil_no_learning,2040,RE_PPA,-205.7142857142857,6.886999832260267
no_fossil_no_learning,2050,Heat_Pump,164.87859728480242,5.112176825659369
no_fossil_no_learning,2050,NCC-H2,165.14954486345903,37.60323707441514
no_fossil_no_learning,2050,NCC-Electricity,684.6652267818575,37.60323707441514
no_fossil_no_learning,2050,RE_PPA,-340.0,6.493456984702537
