process,capacity_1000_t,company,Naphtha_Feedstock_emissions_t_CO2,Naphtha_Thermal_emissions_t_CO2,LNG_emissions_t_CO2,LPG_Propane_emissions_t_CO2,LPG_Butane_emissions_t_CO2,Fuel_Gas_Mix_emissions_t_CO2,Electricity_emissions_t_CO2,total_emissions_MtCO2,emission_intensity_tCO2_per_t
BTX Plant,25754,13,110573511.3,0.0,6653855.735801156,0.0,0.0,8895529.058557691,1624038.8187559978,127.74693491311484,4.960275487812178
Naphtha Cracker,25667,17,232882241.1,31505392.5,16531623.514513042,0.0,0.0,22597614.549805194,2160996.0346300295,305.6778676989482,11.909372645768816
Utility,48645,54,7544839.500000001,0.0,0.0,0.0,0.0,0.0,117141.59559952686,7.661981095599527,0.15750809118305123
