Fuel_Type,tCO2_per_GJ
Natural_Gas_LNG,0.0561
LPG_Propane,0.0631
LPG_Butane,0.0649
Naphtha,0.0732
Fuel_Oil,0.0774
Diesel,0.0741
Fuel_Gas_Mix,0.058
Byproduct_Gas,0.055
Coal,0.0946
Electricity_Grid,0.0045
