region,n_facilities,n_ncc,n_btx,n_utility,capacity_kt,ncc_capacity_kt,total_fossil_kt,ncc_fossil_kt,btx_fossil_kt,low_temp_fossil_kt,elec_emissions_kt,elec_mwh,total_emissions_kt
Daesan,51,7,12,32,22930,4149,10234.367777356361,7307.855705804438,1309.512381127969,1616.9996904239522,0.0,471430.93224139296,10234.367777356361
Yeosu,84,10,13,61,33336,6886,15565.878709412018,12007.87196976832,1151.176407747665,2406.8303318960316,0.0,479750.8811487569,15565.878709412018
Ulsan,78,8,18,52,28956,3778,9611.552398208743,6253.836470821873,1803.2781813228764,1554.4377460639905,0.0,475416.48216675466,9611.552398208743
Other,19,0,4,15,3990,0,283.13781213577704,0.0,226.51024970862167,56.62756242715542,0.0,9147.876785786235,283.13781213577704
