year,cumulative_capacity_multiplier,operating_rate_pct
2025,1.0,70.0
2026,0.691,70.0
2027,0.691,70.0
2028,0.691,70.0
2029,0.691,70.0
2030,0.691,70.0
2031,0.691,70.0
2032,0.691,70.0
2033,0.691,70.0
2034,0.691,70.0
2035,0.691,70.0
2036,0.691,70.0
2037,0.691,70.0
2038,0.691,70.0
2039,0.691,70.0
2040,0.691,70.0
2041,0.691,70.0
2042,0.691,70.0
2043,0.691,70.0
2044,0.691,70.0
2045,0.691,70.0
2046,0.691,70.0
2047,0.691,70.0
2048,0.691,70.0
2049,0.691,70.0
2050,0.691,70.0
