year,cumulative_capacity_multiplier,operating_rate_pct
2025,1.0,70.0
2026,0.97,70.0
2027,0.944,70.0
2028,0.917,70.0
2029,0.891,70.0
2030,0.875,70.0
2031,0.849,70.0
2032,0.823,70.0
2033,0.797,70.0
2034,0.771,70.0
2035,0.756,70.0
2036,0.73,70.0
2037,0.704,70.0
2038,0.678,70.0
2039,0.652,70.0
2040,0.6,70.0
2041,0.6,70.0
2042,0.6,70.0
2043,0.6,70.0
2044,0.6,70.0
2045,0.6,70.0
2046,0.6,70.0
2047,0.6,70.0
2048,0.6,70.0
2049,0.6,70.0
2050,0.6,70.0
