year,cumulative_capacity_multiplier,operating_rate_pct
2025,1.0,100.0
2026,0.97,100.0
2027,0.944,100.0
2028,0.917,100.0
2029,0.891,100.0
2030,0.875,100.0
2031,0.849,100.0
2032,0.823,100.0
2033,0.797,100.0
2034,0.771,100.0
2035,0.756,100.0
2036,0.73,100.0
2037,0.704,100.0
2038,0.678,100.0
2039,0.652,100.0
2040,0.6,100.0
2041,0.6,100.0
2042,0.6,100.0
2043,0.6,100.0
2044,0.6,100.0
2045,0.6,100.0
2046,0.6,100.0
2047,0.6,100.0
2048,0.6,100.0
2049,0.6,100.0
2050,0.6,100.0
