year,h2_price_usd_per_kg,source,notes
2025,6.7307511295180715,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2026,6.5602649568863685,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2027,6.389778784254665,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2028,6.219292611622962,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2029,6.048805516182376,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2030,5.8783193435506735,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2031,5.705731935093315,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2032,5.533144526635955,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2033,5.360557118178597,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2034,5.187969709721238,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2035,5.015382301263879,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2036,4.8448961286321754,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2037,4.674409956000472,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2038,4.503922860559887,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2039,4.333436687928183,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2040,4.1629505152964805,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2041,3.992464342664777,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2042,3.8219772472241904,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2043,3.6514910745924873,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2044,3.481004901960784,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2045,3.3105178065201986,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2046,3.1736467930545715,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2047,3.036774856780061,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2048,2.8999038433144344,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2049,2.7630319070399247,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
2050,2.6261599707654146,Excel assumption.xlsx,Updated from user Excel file - trajectory from literature review
