year,cumulative_capacity_multiplier,operating_rate_pct
2025,1.0,70.0
2026,1.15,70.0
2027,1.15,70.0
2028,1.15,70.0
2029,1.15,70.0
2030,1.15,70.0
2031,1.15,70.0
2032,1.15,70.0
2033,1.15,70.0
2034,1.15,70.0
2035,1.15,70.0
2036,1.15,70.0
2037,1.15,70.0
2038,1.15,70.0
2039,1.15,70.0
2040,1.15,70.0
2041,1.15,70.0
2042,1.15,70.0
2043,1.15,70.0
2044,1.15,70.0
2045,1.15,70.0
2046,1.15,70.0
2047,1.15,70.0
2048,1.15,70.0
2049,1.15,70.0
2050,1.15,70.0
