Year,Product,Process,Company,Location,Operation_Year,Age,Capacity_kt,Total_Emissions_tCO2,Total_Energy_GJ,Energy_Intensity_GJ_per_t,Emission_Intensity_tCO2_per_t,Is_Retired,Energy_LNG_GJ,Energy_Byproduct_Gas_GJ,Energy_LPG_GJ,Energy_Fuel_Gas_GJ,Energy_Fuel_Oil_GJ,Energy_Naphtha_Feedstock_GJ,Energy_Naphtha_Thermal_GJ,Emissions_LNG_tCO2,Emissions_Byproduct_Gas_tCO2,Emissions_LPG_tCO2,Emissions_Fuel_Gas_tCO2,Emissions_Fuel_Oil_tCO2,Emissions_Naphtha_Feedstock_tCO2,Emissions_Naphtha_Thermal_tCO2
2030,Ethylene,Naphtha Cracker,Lotte Chemical,Daesan,1991,39,1100.0,716085.695742063,55545742.31802511,93.99612938002284,0.6509869961291481,False,8800000.0,2200000.0,0.0,17045742.318025112,0.0,27500000.0,0.0,109703.86233269598,26627.15105162524,0.0,206308.8888586978,0.0,373445.79349904397,0.0
2030,Ethylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,2021,9,850.0,553338.9467097761,42921709.973019406,93.99612938002284,0.6509869961291483,False,6800000.0,1700000.0,0.0,13171709.973019406,0.0,21250000.0,0.0,84771.16634799234,20575.525812619504,0.0,159420.50502717562,0.0,288571.7495219885,0.0
2030,Ethylene,Naphtha Cracker,LG Chem,Daesan,1991,39,1300.0,846283.0949678927,65644968.19402968,93.99612938002284,0.6509869961291482,False,10400000.0,2600000.0,0.0,20144968.19402968,0.0,32500000.0,0.0,129650.01912045889,31468.45124282983,0.0,243819.59592391565,0.0,441345.02868068835,0.0
2030,Ethylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1991,39,1525.0,992755.1690969511,77006597.30453482,93.99612938002284,0.6509869961291483,False,12200000.0,3050000.0,0.0,23631597.30453482,0.0,38125000.0,0.0,152089.44550669217,36914.91395793499,0.0,286019.14137228567,0.0,517731.66826003825,0.0
2030,Ethylene,Naphtha Cracker,Lotte Chemical,Yeosu,1992,38,1230.0,800714.0052388523,62110239.13742808,93.99612938002284,0.6509869961291482,False,9840000.0,2460000.0,0.0,19060239.137428083,0.0,30750000.0,0.0,122668.86424474187,29773.99617590822,0.0,230690.84845108943,0.0,417580.2963671128,0.0
2030,Ethylene,Naphtha Cracker,LG Chem,Yeosu,2021,9,1030.0,670516.6060130227,52011013.26142351,93.99612938002284,0.6509869961291482,False,8240000.0,2060000.0,0.0,15961013.261423515,0.0,25750000.0,0.0,102722.70745697897,24932.695984703634,0.0,193180.14138587163,0.0,349681.06118546845,0.0
2030,Ethylene,Naphtha Cracker,GS Caltex,Yeosu,2021,9,900.0,585888.2965162334,45446516.44202055,93.99612938002284,0.6509869961291481,False,7200000.0,1800000.0,0.0,13946516.442020547,0.0,22500000.0,0.0,89757.70554493308,21785.85086042065,0.0,168798.18179348003,0.0,305546.55831739964,0.0
2030,Ethylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,1991,39,900.0,585888.2965162334,45446516.44202055,93.99612938002284,0.6509869961291481,False,7200000.0,1800000.0,0.0,13946516.442020547,0.0,22500000.0,0.0,89757.70554493308,21785.85086042065,0.0,168798.18179348003,0.0,305546.55831739964,0.0
2030,Ethylene,Naphtha Cracker,S-Oil,Onsan,2018,12,182.0,118479.63329550497,9190295.547164155,93.99612938002284,0.6509869961291482,False,1456000.0,364000.0,0.0,2820295.547164155,0.0,4550000.0,0.0,18151.002676864246,4405.583173996176,0.0,34134.743429348186,0.0,61788.304015296366,0.0
2030,Propylene,Naphtha Cracker,Lotte Chemical,Daesan,1997,33,550.0,323808.758808569,25162167.43394654,83.94939533444825,0.5887431978337618,False,3850000.0,1375000.0,0.0,7837167.433946538,0.0,12100000.0,0.0,47995.43977055449,16641.969407265773,0.0,94855.20049116938,0.0,164316.14913957936,0.0
