Year,Product,Process,Company,Location,Operation_Year,Age,Capacity_kt,Total_Emissions_tCO2,Total_Energy_GJ,Energy_Intensity_GJ_per_t,Emission_Intensity_tCO2_per_t,Is_Retired,Energy_LNG_GJ,Energy_Byproduct_Gas_GJ,Energy_LPG_GJ,Energy_Fuel_Gas_GJ,Energy_Fuel_Oil_GJ,Energy_Naphtha_Feedstock_GJ,Energy_Naphtha_Thermal_GJ,Emissions_LNG_tCO2,Emissions_Byproduct_Gas_tCO2,Emissions_LPG_tCO2,Emissions_Fuel_Gas_tCO2,Emissions_Fuel_Oil_tCO2,Emissions_Naphtha_Feedstock_tCO2,Emissions_Naphtha_Thermal_tCO2
2050,Ethylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,2021,29,850.0,553338.9467097761,42921709.973019406,93.99612938002284,0.6509869961291483,False,6800000.0,1700000.0,0.0,13171709.973019406,0.0,21250000.0,0.0,84771.16634799234,20575.525812619504,0.0,159420.50502717562,0.0,288571.7495219885,0.0
2050,Ethylene,Naphtha Cracker,LG Chem,Yeosu,2021,29,1030.0,670516.6060130227,52011013.26142351,93.99612938002284,0.6509869961291482,False,8240000.0,2060000.0,0.0,15961013.261423515,0.0,25750000.0,0.0,102722.70745697897,24932.695984703634,0.0,193180.14138587163,0.0,349681.06118546845,0.0
2050,Ethylene,Naphtha Cracker,GS Caltex,Yeosu,2021,29,900.0,585888.2965162334,45446516.44202055,93.99612938002284,0.6509869961291481,False,7200000.0,1800000.0,0.0,13946516.442020547,0.0,22500000.0,0.0,89757.70554493308,21785.85086042065,0.0,168798.18179348003,0.0,305546.55831739964,0.0
2050,Ethylene,Naphtha Cracker,S-Oil,Onsan,2018,32,182.0,118479.63329550497,9190295.547164155,93.99612938002284,0.6509869961291482,False,1456000.0,364000.0,0.0,2820295.547164155,0.0,4550000.0,0.0,18151.002676864246,4405.583173996176,0.0,34134.743429348186,0.0,61788.304015296366,0.0
2050,Propylene,Naphtha Cracker,HDHyundai Oilbank,Daesan,2011,39,420.0,247272.14309017998,19214746.040468264,83.94939533444825,0.5887431978337618,False,2940000.0,1050000.0,0.0,5984746.040468265,0.0,9240000.0,0.0,36651.06309751434,12708.413001912046,0.0,72434.8803750748,0.0,125477.78661567878,0.0
2050,Propylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,2021,29,451.0,265523.1822230266,20632977.29583616,83.94939533444825,0.5887431978337618,False,3157000.0,1127500.0,0.0,6426477.295836161,0.0,9922000.0,0.0,39356.26061185468,13646.414913957935,0.0,77781.2644027589,0.0,134739.24229445506,0.0
2050,Propylene,Naphtha Cracker,LG Chem,Yeosu,2021,29,1300.0,765366.1571838902,59474213.93478273,83.94939533444825,0.5887431978337617,False,9100000.0,3250000.0,0.0,18524213.934782725,0.0,28600000.0,0.0,113443.76673040153,39335.56405353729,0.0,224203.20116094578,0.0,388383.6252390057,0.0
2050,Propylene,Naphtha Cracker,GS Caltex,Yeosu,2021,29,970.0,571080.9018987489,44376913.4744148,83.94939533444825,0.5887431978337618,False,6790000.0,2425000.0,0.0,13821913.474414803,0.0,21340000.0,0.0,84646.50286806883,29350.38240917782,0.0,167290.08086624419,0.0,289793.93575525814,0.0
2050,Propylene,Naphtha Cracker,S-Oil,Onsan,2018,32,840.0,494544.28618035995,38429492.08093653,83.94939533444825,0.5887431978337618,False,5880000.0,2100000.0,0.0,11969492.08093653,0.0,18480000.0,0.0,73302.12619502869,25416.82600382409,0.0,144869.7607501496,0.0,250955.57323135756,0.0
2050,Propylene,Naphtha Cracker,SK Advanced,Ulsan,2016,34,600.0,353245.9187002571,27449637.200668953,83.94939533444825,0.5887431978337618,False,4200000.0,1500000.0,0.0,8549637.200668951,0.0,13200000.0,0.0,52358.66156787763,18154.875717017207,0.0,103478.40053582116,0.0,179253.9808795411,0.0
