location,year,num_facilities,total_baseline_emissions_kt,total_abatement_mt,total_emissions_2050_kt,heat_pump_avg_pct,heat_pump_num_facilities,ncc_h2_avg_pct,ncc_h2_num_facilities,ncc_elec_avg_pct,ncc_elec_num_facilities,re_ppa_avg_pct,re_ppa_num_facilities
Daesan,2050,57,22399.001056081695,10.270420152459057,12128.580903622636,3.0170290599996195,9,0.0,0,14.845392770041668,13,23.706715063520875,13
Yeosu,2050,87,26423.608970846166,12.78105483189438,13642.554138951784,2.635565615631851,12,0.0,0,9.726291814854886,13,15.531985731272298,13
Onsan,2050,14,6628.949802532625,2.914256196987913,3714.693605544713,8.189078877141824,6,0.0,0,18.597525008623627,4,29.698522167487692,4
Ulsan,2050,71,10417.257609233779,4.327055259042726,6090.2023501910535,1.8838726055396684,7,0.0,0,8.251014616502033,9,13.176104905293837,9
Gwangyang,2050,3,94.24586677716331,0.014585618515184098,79.66024826197916,12.738567142220612,2,0.0,0,0.0,0,0.0,0
Incheon,2050,2,224.3159600744375,0.0345448859570151,189.7710741174224,9.55392535666546,1,0.0,0,0.0,0,0.0,0
Jeonju,2050,3,0.7544452188441143,0.0,0.7544452188441143,0.0,0,0.0,0,0.0,0,0.0,0
Gunsan,2050,3,1.347316410518103,0.0,1.347316410518103,0.0,0,0.0,0,0.0,0,0.0,0
Pohang,2050,2,0.3627140475212088,0.0,0.3627140475212088,0.0,0,0.0,0,0.0,0,0.0,0
Gumi,2050,1,0.1886113047110286,0.0,0.1886113047110286,0.0,0,0.0,0,0.0,0,0.0,0
Gimcheon,2050,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
Busan/Iksan/Siheung,2050,1,1.9223844518624071,0.0,1.9223844518624071,0.0,0,0.0,0,0.0,0,0.0,0
Naju,2050,2,0.6528852855381759,0.0,0.6528852855381759,0.0,0,0.0,0,0.0,0,0.0,0
진해,2050,1,0.5130741012193226,0.0,0.5130741012193226,0.0,0,0.0,0,0.0,0,0.0,0
