TechGroup,Activity_kt_product,Total_Emissions_tCO2,Emissions_MtCO2,Emission_Intensity_avg
BTX,3100,3064000.0,3.064,0.9883870967741936
C4,1000,1445500.0,1.4455,1.4455
NCC,7500,14199000.0,14.199,1.8932
