product,product_group,process,company,location,capacity_kt,year_built,naphtha_gj_per_year,electricity_kwh_per_year,lng_gj_per_year,fuel_gas_gj_per_year,byproduct_gas_gj_per_year,lpg_gj_per_year,fuel_oil_gj_per_year,diesel_gj_per_year,emissions_naphtha_kt,emissions_electricity_kt,emissions_lng_kt,emissions_fuel_gas_kt,emissions_byproduct_gas_kt,emissions_lpg_kt,emissions_fuel_oil_kt,emissions_diesel_kt,total_emissions_kt
Ethylene,Olefins,Naphtha Cracker,HD Hyundai Chemical,Daesan,595.0,2021,17255000.0,12979294.514053585,2672877.1652183207,3341096.4565229015,668219.2913045802,0.0,0.0,0.0,1336.03,83.43832187605875,214.21201281249682,238.64974689449298,45.82075140374264,0,0,0,1918.150832986791
Ethylene,Olefins,Naphtha Cracker,LG Chem,Yeosu,721.0,2021,20909000.0,15727850.99938258,3238898.2119704355,4048622.7649630457,809724.5529926089,0.0,0.0,0.0,1618.954,101.10761356745942,259.5745567022021,289.18734035450325,55.52396934806461,0,0,0,2324.347479972229
Ethylene,Olefins,Naphtha Cracker,GS Caltex,Yeosu,630.0,2021,18270000.0,13742782.426644973,2830105.2337605753,3537631.542200719,707526.3084401438,0.0,0.0,0.0,1414.62,88.3464584570034,226.81271944852605,252.68796730005138,48.51608972160986,0,0,0,2030.9832349271906
Ethylene,Olefins,Naphtha Cracker,S-Oil,Onsan,127.39999999999999,2018,3694600.0,2779096.00183265,572310.1694938052,715387.7118672566,143077.5423734513,0.0,0.0,0.0,286.06759999999997,17.865617154638464,45.866572155146386,51.09912227623261,9.81103147703666,0,0,0,410.7099430630541
Propylene,Olefins,Naphtha Cracker,Lotte Chemical,Daesan,385.0,1997,9776918.918918911,18805227.84706628,1514630.3936237157,1987952.3916311252,473321.99800741085,0.0,0.0,0.0,757.0128648648644,120.89075044542608,121.38680726041491,141.99659940222324,32.45636557765103,0,0,0,1173.7433875505797
Propylene,Olefins,Naphtha Cracker,HDHyundai Oilbank,Daesan,294.0,2011,7466010.810810805,14360355.810486978,1156626.8460399283,1518072.7354274048,361445.8893874774,0.0,0.0,0.0,578.082551351351,92.31657306741627,92.69538008977139,108.4337668162432,24.784860986569875,0,0,0,896.3131323113518
Propylene,Olefins,Naphtha Cracker,HD Hyundai Chemical,Daesan,315.7,2021,8017073.513513507,15420286.834594348,1241996.9227714469,1630120.9611375225,388124.0383660769,0.0,0.0,0.0,620.7505491891887,99.13041536524939,99.53718195354023,116.43721150982306,26.614219773673845,0,0,0,962.4695777914753
Propylene,Olefins,Naphtha Cracker,Lotte Chemical,Yeosu,448.7,1992,11394554.594594585,21916638.27267179,1765232.8769323668,2316868.1509737293,551635.2740413642,0.0,0.0,0.0,882.2640843243237,140.89267461003294,141.47080627986537,165.49058221240927,37.82641879140783,0,0,0,1367.944566218039
Propylene,Olefins,Naphtha Cracker,LG Chem,Yeosu,909.9999999999999,2021,23109081.081081063,44448720.36579301,3580035.475837873,4698796.562037204,1118761.0861993346,0.0,0.0,0.0,1789.303135135134,285.741773780098,286.9142717064353,335.6283258598004,76.71504591081153,0,0,0,2774.3025523922793
Propylene,Olefins,Naphtha Cracker,GS Caltex,Yeosu,679.0,2021,17242929.729729716,33165583.65755326,2671257.239663644,3506025.1270585298,834767.8873948882,0.0,0.0,0.0,1335.0954162162152,213.20732351284235,214.08218735018633,250.43036621846642,57.2412265642209,0,0,0,2070.056519861931
