scenario,scenario_id,production_pathway,technology_pathway,bau_emissions_2050_mt,emissions_2050_mt,cost_2050_billion_usd,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,heat_pump_mt,h2_consumption_kt,electricity_increase_twh
Shaheen (성장) + NCC-H2,shaheen_ncc_h2,Shaheen (성장),NCC-H2,68.040036507243,25.22671272948267,31.44166613060539,31.043127416254347,0.0,8.478349188156638,3.2918471733493444,7703.528000000001,0.0153070893560744
Shaheen (성장) + NCC-Electricity,shaheen_ncc_elec,Shaheen (성장),NCC-Electricity,68.040036507243,25.22671272948267,33.283764174496774,0.0,31.043127416254347,8.478349188156638,3.2918471733493444,0.0,164.5438823955041
구조조정 25% + NCC-H2,restructure_25pct_ncc_h2,구조조정 25%,NCC-H2,40.88318715348254,15.56294768795598,15.083029287952042,18.652870473592827,0.0,4.689398212121212,1.9779707798125197,4628.815519999999,0.0091975641261282
구조조정 25% + NCC-Electricity,restructure_25pct_ncc_elec,구조조정 25%,NCC-Electricity,40.88318715348254,15.56294768795598,16.744459487696187,0.0,18.652870473592827,4.689398212121212,1.9779707798125197,0.0,98.86941107416811
구조조정 40% + NCC-H2,restructure_40pct_ncc_h2,구조조정 40%,NCC-H2,35.499149482039826,11.825323527784631,13.021867175433249,16.196414304132702,0.0,5.357054857142859,2.1203567929796323,4019.232,0.0098596590873552
구조조정 40% + NCC-Electricity,restructure_40pct_ncc_elec,구조조정 40%,NCC-Electricity,35.499149482039826,11.825323527784631,14.48605215281411,0.0,16.196414304132702,5.357054857142859,2.1203567929796323,0.0,85.85085547099068
