Category,Amount,Notes
Total Production,15.1 Mt/year,"Ethylene, Propylene, BTX, Other"
Naphtha Feedstock,39.5 Mt/year,Including utility use and losses
Process Fuels,9.43 Mt/year,"Natural gas, fuel gas, LPG, fuel oil, coal"
Total Energy Demand,0.4 PJ/year,All processes and utilities
Direct Emissions,26.8 MtCO2/year,From fuel combustion
Naphtha External GHG,35.5 MtCO2/year,Naphtha lifecycle emissions
Total Emissions,62.4 MtCO2/year,Scope 1 + External GHG
