product_group,facilities,emissions_mt,Naphtha_pct,LNG_pct,FuelGas_pct,ByproductGas_pct,LPG_pct,FuelOil_pct,Diesel_pct,Electricity_pct
Olefins,39,46.31357712292166,71.5,11.0,14.1,3.1,0.0,0.0,0.0,0.4
Aromatics,37,5.082718864713267,0.0,39.0,48.7,9.7,0.0,0.0,0.0,2.5
Other,108,0.47760679547597157,98.6,0.0,0.0,0.0,0.0,0.0,0.0,1.4
Polymers,57,0.12369485462268807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Intermediates,7,0.010718200104251722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
