product_group,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
Olefins,46313.577122921655,25317,39,46.31357712292166,89.05033046508869
Aromatics,5082.718864713267,14374,37,5.082718864713267,9.772896474020053
Other,477.60679547597147,39315,108,0.47760679547597146,0.9183277477493244
Polymers,123.69485462268808,18105,57,0.12369485462268809,0.23783668559537516
Intermediates,10.718200104251723,2955,7,0.010718200104251722,0.020608627546546823
