year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,43.636315837837834,8.372000000000002,52.008315837837834,0.45,248,0,1.0,1.0,100066.0
2026,44.290860575405404,8.346511911111113,52.63737248651651,0.442,248,0,1.0,1.015,101566.98999999999
2027,44.94540531297297,8.316558755555558,53.26196406852853,0.434,248,0,1.0,1.03,103067.98
2028,45.64358636637837,8.290066026666668,53.933652393045044,0.426,248,0,1.0,1.046,104669.03600000001
2029,46.29813110394594,8.251033902222224,54.54916500616817,0.418,248,0,1.0,1.061,106170.026
2030,46.99631215735135,8.215164533333335,55.211476690684684,0.41,248,0,1.0,1.077,107771.082
2031,47.60722057908108,8.159574453333336,55.766795032414414,0.402,248,0,1.0,1.091,109172.006
2032,48.218129000810805,8.09981697777778,56.31794597858858,0.394,248,0,1.0,1.105,110572.93
2033,48.82903742254054,8.035892106666669,56.8649295292072,0.386,248,0,1.0,1.119,111973.854
2034,49.48358216010811,7.974832320000002,57.458414480108104,0.378,248,0,1.0,1.134,113474.84399999998
2035,50.138126897675676,7.909307466666668,58.047434364342344,0.37,248,0,1.0,1.149,114975.834
2036,50.61812637189188,7.812378311111113,58.430504683002994,0.362,248,0,1.0,1.16,116076.56
2037,51.14176216194594,7.718760746666668,58.86052290861261,0.354,248,0,1.0,1.172,117277.352
2038,51.62176163616216,7.615133991111112,59.23689562727328,0.346,248,0,1.0,1.183,118378.07800000001
2039,52.14539742621621,7.514521155555558,59.65991858177178,0.338,248,0,1.0,1.195,119578.87000000001
2040,52.66903321627027,7.410336266666669,60.07936948293693,0.33,248,0,1.0,1.207,120779.66200000001
2041,53.10539637464865,7.290598062222226,60.39599443687087,0.322,248,0,1.0,1.217,121780.32200000001
2042,53.49812321718918,7.162041351111112,60.660164568300296,0.314,248,0,1.0,1.226,122680.916
2043,53.93448637556756,7.03649856,60.970984935567564,0.306,248,0,1.0,1.236,123681.576
2044,54.37084953394594,6.907979057777778,61.27882859172372,0.298,248,0,1.0,1.246,124682.236
2045,54.80721269232432,6.776482844444445,61.583695536768765,0.29,248,0,1.0,1.256,125682.896
2046,55.06903058735135,6.621024106666667,61.690054694018016,0.282,248,0,1.0,1.262,126283.292
2047,55.37448479821621,6.468876960000001,61.84336175821621,0.274,248,0,1.0,1.269,126983.75399999999
2048,55.63630269324323,6.309697333333334,61.94600002657657,0.266,248,0,1.0,1.275,127584.15
2049,55.94175690410811,6.153531626666669,62.09528853077478,0.258,248,0,1.0,1.282,128284.61200000001
2050,56.20357479913513,5.990631111111113,62.19420591024625,0.25,248,0,1.0,1.288,128885.008
