location,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
Yeosu,21050.55522043501,37216,87,21.050555220435008,40.48183696237499
Daesan,17729.42632555263,27424,57,17.72942632555263,34.095050626062736
Ulsan,7966.818781735452,24105,71,7.966818781735452,15.320805349491247
Onsan,5131.277078945666,7331,14,5.131277078945666,9.867840536433967
Incheon,82.01705545999384,2100,2,0.08201705545999384,0.15772510665383424
Gwangyang,34.16410705106489,390,3,0.03416410705106489,0.06570020586743244
Busan/Iksan/Siheung,1.9223844518624071,530,1,0.0019223844518624072,0.0036968931766584736
Gunsan,1.3473164105181032,330,3,0.0013473164105181033,0.0025909930971501974
Jeonju,0.7544452188441145,208,3,0.0007544452188441146,0.001450856190084835
Naju,0.652885285538176,180,2,0.0006528852855381761,0.0012555486260349533
진해,0.5130741012193226,100,1,0.0005130741012193226,0.0009866809638833121
Pohang,0.3627140475212089,100,2,0.0003627140475212089,0.0006975270144638629
Gumi,0.18861130471102863,52,1,0.00018861130471102864,0.00036271404752120874
Gimcheon,0.0,0,1,0.0,0.0
