location,region
Yeosu,Yeosu
Daesan,Daesan
Ulsan,Ulsan
Onsan,Ulsan
Jinhae,Other
Busan/Iksan/Siheung,Other
Incheon,Other
Gwangyang,Other
Gumi,Other
Jeonju,Other
Naju,Other
Pohang,Other
Gunsan,Other
