Year,FacilityID,TechID,Technology,Region,Company,TechGroup,DeploymentCapacity_kt,BaselineCapacity_kt
2049,Yeosu_LG_Chem,NCC_HT_Electric,E-cracker,Yeosu,LG Chem,NCC,3380.0,3380
2050,Yeosu_LG_Chem,NCC_HT_Electric,E-cracker,Yeosu,LG Chem,NCC,3380.0,3380
2031,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2032,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2033,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2034,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2035,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2036,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2037,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2038,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2039,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2040,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2041,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2042,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2043,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2044,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2045,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2046,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2047,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2048,Yeosu_LG_Chem,NCC_MT_HeatPump,Heat pump,Yeosu,LG Chem,NCC,3380.0,3380
2026,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2027,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2028,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2029,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2030,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2031,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2032,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2033,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2034,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2035,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2036,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
2037,Yeosu_LG_Chem,BTX_MT_HeatPump,Heat pump,Yeosu,LG Chem,BTX,800.0,800
