Year,BaselineEmissions_ktCO2,AbatementAchieved_ktCO2,RemainingEmissions_ktCO2,ReductionPercent,AnnualInvestment_Million_USD,CumulativeInvestment_Million_USD
2023,40749.057570000004,0.0,40749.057570000004,0.0,0.0,0.0
2024,40749.057570000004,0.0,40749.057570000004,0.0,0.0,0.0
2025,40749.057570000004,0.0,40749.057570000004,0.0,0.0,0.0
2026,40749.057570000004,0.0,40749.057570000004,0.0,0.0,0.0
2027,40749.057570000004,0.0,40749.057570000004,0.0,0.0,0.0
2028,40749.057570000004,0.0,40749.057570000004,0.0,0.0,0.0
2029,40749.057570000004,0.0,40749.057570000004,0.0,0.0,0.0
2030,40749.057570000004,6149.0575813965115,34599.99998860349,15.090060845783901,181397.8971,181397.8971
2031,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2032,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2033,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2034,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2035,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2036,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2037,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2038,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2039,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2040,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2041,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2042,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2043,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2044,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2045,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2046,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2047,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2048,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2049,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
2050,40749.057570000004,0.0,40749.057570000004,0.0,0.0,181397.8971
