company,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
S-Oil Shaheen,26421.3916,11060.0,24,26.4213916,34.34487424059806
LG Chem,11362.06769333808,10823.4,45,11.36206769333808,14.769425923835836
Lotte Chemical,6824.893588795265,7190.4,30,6.824893588795264,8.871603568853553
Hanwha TotalEnergies,6593.08845093584,6328.0,11,6.5930884509358405,8.570282638123077
HD Hyundai Chemical,5320.2206692629,3135.2999999999997,8,5.3202206692629,6.915695909751578
GS Caltex,5019.422606947182,4235.0,8,5.019422606947183,6.5246918408346
S-Oil,3218.6448694695296,3425.8,7,3.2186448694695295,4.183880809180283
Daehan Oil Chemical,2593.629501966185,1556.1,8,2.593629501966185,3.3714302569791057
SK Geocentric,2178.1448741064723,3831.1,8,2.178144874106472,2.8313463920269086
Yeochon NCC,1564.3876048941315,1170.3999999999999,5,1.5643876048941314,2.0335301170752618
SK Energy,1323.1289096024714,434.0,1,1.3231289096024714,1.719920611766585
SK Advanced,1280.4473318733594,420.0,1,1.2804473318733594,1.6644393017095984
HDHyundai Oilbank,1022.6777898199515,1552.6,3,1.0226777898199515,1.3293675296050267
Taekwang Industrial,645.3550834622182,1113.0,3,0.6453550834622181,0.8388899236496137
Kumho Petrochemical,391.61982889192444,1846.6,11,0.3916198288919244,0.5090622771518846
Lotte GS Chemical,336.2933646507783,91.0,1,0.3362933646507783,0.43714401919990326
SK Incheon Petrochemical,224.3159600744375,1470.0,2,0.2243159600744375,0.29158583149403716
Ulsan Aromatics,224.3159600744375,1120.0,2,0.2243159600744375,0.29158583149403716
Caprolactam,195.38221434832718,322.0,2,0.19538221434832717,0.25397517595715396
OCI,94.78993784844512,378.0,6,0.09478993784844512,0.12321639011167577
Hanwha Solutions,25.42495994852778,3257.1,14,0.025424959948527778,0.03304962377547248
Hanwha Impact,7.254280950424178,1399.9999999999998,2,0.007254280950424178,0.00942975944341571
Kumho P&B Chemical,6.848041217200424,1321.6,4,0.006848041217200424,0.008901692914584432
Samnam Petrochemical,5.440710712818134,1050.0,1,0.005440710712818133,0.007072319582561782
DL Chemical,4.38875692735298,448.0,2,0.00438875692735298,0.005704896510541542
Lotte INEOS Chemical,4.243754355998144,819.0,2,0.004243754355998144,0.00551640927439819
Korea INEOS Styrolution,4.145638737852129,379.4,2,0.0041456387378521285,0.0053888698693101015
Ulsan PP,3.848055759144923,420.0,1,0.003848055759144923,0.005002045051958636
Dongseo Petrochemical,3.122671669987864,421.4,1,0.003122671669987864,0.0040591263103799385
Poly Mirae,2.5974376374228227,283.5,1,0.0025974376374228226,0.0033763804100720783
BASF Korea,2.3548702974236195,429.8,4,0.0023548702974236194,0.003061069812005434
Kumho Mitsui Chemical,2.2125556898793746,427.0,1,0.0022125556898793747,0.0028760766302417923
SKpicglobal,2.074864897001903,280.0,1,0.002074864897001903,0.0026970938939401582
HDC Hyundai EP,1.929158620584654,159.6,2,0.001929158620584654,0.0025076919193819285
Kukdo Chemical,1.9223844518624071,371.0,1,0.0019223844518624072,0.0024988862525051636
LXMMA,1.5587454450183302,266.0,2,0.0015587454450183302,0.0020261959359574233
Hyosung Chemical,1.5233989995890773,294.0,2,0.0015233989995890773,0.001980249483117299
SSNC,1.4208205879919715,125.99999999999999,1,0.0014208205879919715,0.0018469089422616498
Lotte MCC,1.2426567802059156,207.89999999999998,3,0.0012426567802059157,0.001615315782246635
Kumho Polychem,1.1244135473157477,217.0,1,0.0011244135473157477,0.0014616127137294353
KPX Chemical,1.0808878616132025,208.6,1,0.0010808878616132024,0.0014050341570689406
PU Core,0.7979709045466595,154.0,1,0.0007979709045466595,0.0010372735387757283
Aekyung Chemical,0.7907166235962354,152.6,2,0.0007907166235962354,0.0010278437793323125
Lotte Versalis Elastomers,0.7109195331415695,137.2,2,0.0007109195331415695,0.0009241164254547397
Korea Alcohol Industrial,0.7000381117159332,135.1,2,0.0007000381117159332,0.0009099717862896161
Birla Carbon Korea,0.7000381117159332,135.1,1,0.0007000381117159332,0.0009099717862896161
ISU Chemical,0.652885285538176,125.99999999999999,1,0.0006528852855381761,0.000848678349907414
Samyang Innochem,0.652885285538176,125.99999999999999,1,0.0006528852855381761,0.000848678349907414
Orion Engineered Carbons,0.6166138807860552,118.99999999999999,1,0.0006166138807860552,0.0008015295526903355
SK Chemical,0.5803424760339342,112.0,1,0.0005803424760339341,0.0007543807554732567
Arkema,0.5130741012193226,70.0,1,0.0005130741012193226,0.0006669393402611508
SH Energy Chemical,0.5130741012193226,70.0,1,0.0005130741012193226,0.0006669393402611508
Kolon Industries,0.4969182451040562,95.9,4,0.0004969182451040561,0.0006459385218739761
HD Hyundai OCI,0.4932911046288441,95.19999999999999,1,0.0004932911046288441,0.0006412236421522682
Samyang Chemical,0.4352568570254507,84.0,1,0.0004352568570254507,0.0005657855666049426
Hansol Chemical,0.31918836181866383,61.599999999999994,2,0.0003191883618186638,0.00041490941551029125
Bluecube Chemical,0.18861130471102863,36.4,1,0.00018861130471102864,0.0002451737455288085
Korea Trinseo,0.15596704043411982,30.099999999999998,1,0.00015596704043411983,0.00020273982803343778
Yongsan Chemical,0.1378313380580594,26.599999999999998,1,0.0001378313380580594,0.00017916542942489854
Korea PTG,0.10881421425636267,21.0,1,0.00010881421425636267,0.00014144639165123565
Downing Chemical,0.10881421425636267,21.0,1,0.00010881421425636267,0.00014144639165123565
