location,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
Onsan,23218.9260911903,12404.7,30,23.2189260911903,44.020299620776775
Yeosu,13971.242957324564,22209.6,82,13.971242957324565,26.487801315214327
Daesan,8914.418713260444,14983.5,50,8.914418713260444,16.900668926788736
Ulsan,6317.060941841645,15529.5,65,6.317060941841645,11.976390048809535
Incheon,224.3159600744375,1470.0,2,0.2243159600744375,0.4252761619300513
Gwangyang,94.24586677716331,273.0,3,0.09424586677716332,0.1786788621169111
Busan/Iksan/Siheung,1.9223844518624071,371.0,1,0.0019223844518624072,0.0036446104020897772
Gunsan,1.3473164105181032,231.0,3,0.0013473164105181033,0.0025543503537616002
Jeonju,0.7544452188441145,145.6,3,0.0007544452188441146,0.0014303376672352335
Naju,0.652885285538176,126.0,2,0.0006528852855381761,0.0012377922120304903
Jinhae,0.5130741012193226,70.0,1,0.0005130741012193226,0.0009727269717226399
Pohang,0.3627140475212089,70.0,2,0.0003627140475212089,0.0006876623400169391
Gumi,0.18861130471102863,36.4,1,0.00018861130471102864,0.00035758441680880837
Gimcheon,0.0,0.0,1,0.0,0.0
