company,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
S-Oil Shaheen,19816.0437,8295.0,18,19.816043699999998,37.56884265648169
LG Chem,5668.294349995626,9083.199999999999,41,5.668294349995627,10.746406386134982
HD Hyundai Chemical,5320.2206692629,3135.2999999999997,8,5.3202206692629,10.086500425980573
GS Caltex,5019.422606947182,4235.0,8,5.019422606947183,9.516223369389618
Lotte Chemical,4049.216501061438,6329.4,29,4.049216501061438,7.676828932831155
S-Oil,3218.6448694695296,3425.8,7,3.2186448694695295,6.1021647155629175
SK Geocentric,2178.1448741064723,3831.1,8,2.178144874106472,4.129501493697664
SK Energy,1323.1289096024714,434.0,1,1.3231289096024714,2.5084937524182713
SK Advanced,1280.4473318733594,420.0,1,1.2804473318733594,2.427574599114456
HDHyundai Oilbank,1022.6777898199515,1552.6,3,1.0226777898199515,1.9388744572673817
Taekwang Industrial,645.3550834622182,1113.0,3,0.6453550834622181,1.2235158518626343
Yeochon NCC,586.5499753710994,905.8,4,0.5865499753710994,1.112028418411292
Daehan Oil Chemical,562.6462670389948,926.0999999999999,7,0.5626462670389948,1.0667098537759472
Hanwha TotalEnergies,493.0094511986159,4410.7,8,0.49300945119861594,0.9346868012931964
Kumho Petrochemical,391.61982889192444,1846.6,11,0.3916198288919244,0.7424642353205446
Lotte GS Chemical,336.2933646507783,91.0,1,0.3362933646507783,0.6375718934745745
SK Incheon Petrochemical,224.3159600744375,1470.0,2,0.2243159600744375,0.4252761619300513
Ulsan Aromatics,224.3159600744375,1120.0,2,0.2243159600744375,0.4252761619300513
Caprolactam,195.38221434832718,322.0,2,0.19538221434832717,0.3704212495619035
OCI,94.78993784844512,378.0,6,0.09478993784844512,0.1797103556269365
Hanwha Solutions,25.42495994852778,3257.1,14,0.025424959948527778,0.04820267528243234
Hanwha Impact,7.254280950424178,1399.9999999999998,2,0.007254280950424178,0.013753246800338782
Kumho P&B Chemical,6.848041217200424,1321.6,4,0.006848041217200424,0.01298306497951981
Samnam Petrochemical,5.440710712818134,1050.0,1,0.005440710712818133,0.010314935100254085
DL Chemical,4.38875692735298,448.0,2,0.00438875692735298,0.008320556865812128
Lotte INEOS Chemical,4.243754355998144,819.0,2,0.004243754355998144,0.008045649378198187
Korea INEOS Styrolution,4.145638737852129,379.4,2,0.0041456387378521285,0.007859633931518934
Ulsan PP,3.848055759144923,420.0,1,0.003848055759144923,0.007295452287919806
Dongseo Petrochemical,3.122671669987864,421.4,1,0.003122671669987864,0.005920211037767695
Poly Mirae,2.5974376374228227,283.5,1,0.0025974376374228226,0.004924430294345868
BASF Korea,2.3548702974236195,429.8,4,0.0023548702974236194,0.0044645517046538515
Kumho Mitsui Chemical,2.2125556898793746,427.0,1,0.0022125556898793747,0.004194740274103329
SKpicglobal,2.074864897001903,280.0,1,0.002074864897001903,0.00393369504170611
HDC Hyundai EP,1.929158620584654,159.6,2,0.001929158620584654,0.003657453413677128
Kukdo Chemical,1.9223844518624071,371.0,1,0.0019223844518624072,0.0036446104020897772
LXMMA,1.5587454450183302,266.0,2,0.0015587454450183302,0.0029551944501112096
Hyosung Chemical,1.5233989995890773,294.0,2,0.0015233989995890773,0.002888181828071144
SSNC,1.4208205879919715,125.99999999999999,1,0.0014208205879919715,0.0026937054601550046
Lotte MCC,1.2426567802059156,207.89999999999998,3,0.0012426567802059157,0.0023559282447265803
Kumho Polychem,1.1244135473157477,217.0,1,0.0011244135473157477,0.0021317532540525114
KPX Chemical,1.0808878616132025,208.6,1,0.0010808878616132024,0.002049233773250478
PU Core,0.7979709045466595,154.0,1,0.0007979709045466595,0.0015128571480372659
Aekyung Chemical,0.7907166235962354,152.6,2,0.0007907166235962354,0.0014991039012369272
Lotte Versalis Elastomers,0.7109195331415695,137.2,2,0.0007109195331415695,0.0013478181864332007
Korea Alcohol Industrial,0.7000381117159332,135.1,2,0.0007000381117159332,0.0013271883162326924
Birla Carbon Korea,0.7000381117159332,135.1,1,0.0007000381117159332,0.0013271883162326924
ISU Chemical,0.652885285538176,125.99999999999999,1,0.0006528852855381761,0.0012377922120304903
Samyang Innochem,0.652885285538176,125.99999999999999,1,0.0006528852855381761,0.0012377922120304903
Orion Engineered Carbons,0.6166138807860552,118.99999999999999,1,0.0006166138807860552,0.0011690259780287966
SK Chemical,0.5803424760339342,112.0,1,0.0005803424760339341,0.0011002597440271024
Arkema,0.5130741012193226,70.0,1,0.0005130741012193226,0.0009727269717226399
SH Energy Chemical,0.5130741012193226,70.0,1,0.0005130741012193226,0.0009727269717226399
Kolon Industries,0.4969182451040562,95.9,4,0.0004969182451040561,0.0009420974058232064
HD Hyundai OCI,0.4932911046288441,95.19999999999999,1,0.0004932911046288441,0.000935220782423037
Samyang Chemical,0.4352568570254507,84.0,1,0.0004352568570254507,0.0008251948080203268
Hansol Chemical,0.31918836181866383,61.599999999999994,2,0.0003191883618186638,0.0006051428592149064
Bluecube Chemical,0.18861130471102863,36.4,1,0.00018861130471102864,0.00035758441680880837
Korea Trinseo,0.15596704043411982,30.099999999999998,1,0.00015596704043411983,0.0002956948062072838
Yongsan Chemical,0.1378313380580594,26.599999999999998,1,0.0001378313380580594,0.0002613116892064369
Korea PTG,0.10881421425636267,21.0,1,0.00010881421425636267,0.0002062987020050817
Downing Chemical,0.10881421425636267,21.0,1,0.00010881421425636267,0.0002062987020050817
