scenario,year,total_emissions_mtco2,scope1_mtco2,scope2_mtco2,cumulative_emissions_mtco2,target_emissions_mtco2,target_met,total_capex_musd,shadow_carbon_price_usd_tco2
Scenario_B_Point_Targets,2025,51.99999999999998,48.359999999999985,3.639999999999999,51.99999999999998,52.0,True,0,0
Scenario_B_Point_Targets,2026,51.99999999999998,48.359999999999985,3.639999999999999,103.99999999999996,49.4,False,0,0
Scenario_B_Point_Targets,2027,51.99999999999998,48.359999999999985,3.639999999999999,155.99999999999994,46.8,False,0,0
Scenario_B_Point_Targets,2028,51.99999999999998,48.359999999999985,3.639999999999999,207.99999999999991,44.2,False,0,0
Scenario_B_Point_Targets,2029,51.99999999999998,48.359999999999985,3.639999999999999,259.9999999999999,41.6,False,0,0
Scenario_B_Point_Targets,2030,51.99999999999998,48.359999999999985,3.639999999999999,311.9999999999999,39.0,False,0,0
Scenario_B_Point_Targets,2031,51.99999999999998,48.359999999999985,3.639999999999999,363.9999999999999,37.96,False,0,0
Scenario_B_Point_Targets,2032,51.99999999999998,48.359999999999985,3.639999999999999,415.9999999999999,36.92,False,0,0
Scenario_B_Point_Targets,2033,51.99999999999998,48.359999999999985,3.639999999999999,467.9999999999999,35.879999999999995,False,0,0
Scenario_B_Point_Targets,2034,51.99999999999998,48.359999999999985,3.639999999999999,519.9999999999999,34.839999999999996,False,0,0
Scenario_B_Point_Targets,2035,51.99999999999998,48.359999999999985,3.639999999999999,571.9999999999999,33.8,False,0,0
Scenario_B_Point_Targets,2036,51.99999999999998,48.359999999999985,3.639999999999999,623.9999999999999,32.239999999999995,False,0,0
Scenario_B_Point_Targets,2037,51.99999999999998,48.359999999999985,3.639999999999999,675.9999999999999,30.68,False,0,0
Scenario_B_Point_Targets,2038,51.99999999999998,48.359999999999985,3.639999999999999,727.9999999999999,29.119999999999997,False,0,0
Scenario_B_Point_Targets,2039,51.99999999999998,48.359999999999985,3.639999999999999,779.9999999999999,27.56,False,0,0
Scenario_B_Point_Targets,2040,51.99999999999998,48.359999999999985,3.639999999999999,831.9999999999999,26.0,False,0,0
Scenario_B_Point_Targets,2041,51.99999999999998,48.359999999999985,3.639999999999999,883.9999999999999,23.4,False,0,0
Scenario_B_Point_Targets,2042,51.99999999999998,48.359999999999985,3.639999999999999,935.9999999999999,20.8,False,0,0
Scenario_B_Point_Targets,2043,51.99999999999998,48.359999999999985,3.639999999999999,987.9999999999999,18.2,False,0,0
Scenario_B_Point_Targets,2044,51.99999999999998,48.359999999999985,3.639999999999999,1039.9999999999998,15.6,False,0,0
Scenario_B_Point_Targets,2045,51.99999999999998,48.359999999999985,3.639999999999999,1091.9999999999998,13.0,False,0,0
Scenario_B_Point_Targets,2046,51.99999999999998,48.359999999999985,3.639999999999999,1143.9999999999998,10.4,False,0,0
Scenario_B_Point_Targets,2047,51.99999999999998,48.359999999999985,3.639999999999999,1195.9999999999998,7.800000000000001,False,0,0
Scenario_B_Point_Targets,2048,51.99999999999998,48.359999999999985,3.639999999999999,1247.9999999999998,5.199999999999999,False,0,0
Scenario_B_Point_Targets,2049,51.99999999999998,48.359999999999985,3.639999999999999,1299.9999999999998,2.6000000000000014,False,0,0
Scenario_B_Point_Targets,2050,51.99999999999998,48.359999999999985,3.639999999999999,1351.9999999999998,,True,0,0
