technology,year,capex_ann_usd_per_tco2,opex_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,abatement_potential_mtco2,trl,available
Heat_Pump,2025,12.222265058778069,15.0,-736.3907531692766,-709.1684881104986,3.4164,9,True
NCC-H2,2025,18.333397588167102,25.0,10.64568386947466,53.97908145764176,36.062,7,False
NCC-Electricity,2025,28.51861847048216,30.0,-0.3440561598395433,58.174562310642614,37.96,5,False
Heat_Pump,2026,12.222265058778069,15.0,-743.847874720358,-716.62560966158,3.4164,9,True
NCC-H2,2026,18.333397588167102,25.0,9.874257502121424,53.207655090288526,36.062,7,False
NCC-Electricity,2026,28.51861847048216,30.0,-0.36010182828049064,58.15851664220167,37.96,5,False
Heat_Pump,2027,12.222265058778069,15.0,-751.3049962714393,-724.0827312126613,3.4164,9,True
NCC-H2,2027,18.333397588167102,25.0,9.102831134768188,52.43622872293529,36.062,7,False
NCC-Electricity,2027,28.51861847048216,30.0,-0.376147496721438,58.14247097376072,37.96,5,False
Heat_Pump,2028,12.222265058778069,15.0,-758.7621178225205,-731.5398527637425,3.4164,9,True
NCC-H2,2028,18.333397588167102,25.0,8.331404767414952,51.664802355582054,36.062,7,True
NCC-Electricity,2028,28.51861847048216,30.0,-0.3921931651623852,58.12642530531978,37.96,5,False
Heat_Pump,2029,12.222265058778069,15.0,-766.2192393736018,-738.9969743148238,3.4164,9,True
NCC-H2,2029,18.333397588167102,25.0,7.559978400061715,50.89337598822882,36.062,7,True
NCC-Electricity,2029,28.51861847048216,30.0,-0.4082388336033326,58.110379636878825,37.96,5,False
Heat_Pump,2030,12.222265058778069,15.0,-773.6763609246832,-746.4540958659052,3.4164,9,True
NCC-H2,2030,18.333397588167102,25.0,6.788552032708479,50.12194962087558,36.062,7,True
NCC-Electricity,2030,28.51861847048216,30.0,-0.4242845020442799,58.09433396843788,37.96,5,False
Heat_Pump,2031,11.814856223485467,14.5,-780.2013422818792,-753.8864860583938,3.4164,9,True
NCC-H2,2031,17.62043212640505,24.3,6.325696212296537,48.24612833870158,36.062,7,True
NCC-Electricity,2031,27.44917027783908,29.2,-0.43832446193010877,56.21084581590897,37.96,5,False
Heat_Pump,2032,11.407447388192864,14.0,-786.7263236390753,-761.3188762508825,3.4164,9,True
NCC-H2,2032,16.907466664642996,23.6,5.862840391884595,46.370307056527594,36.062,7,True
NCC-Electricity,2032,26.379722085196,28.4,-0.45236442181593767,54.32735766338006,37.96,5,False
Heat_Pump,2033,11.000038552900262,13.5,-793.2513049962715,-768.7512664433713,3.4164,9,True
NCC-H2,2033,16.194501202880943,22.9,5.399984571472653,44.49448577435359,36.062,7,True
NCC-Electricity,2033,25.310273892552917,27.6,-0.4664043817017666,52.44386951085116,37.96,5,True
Heat_Pump,2034,10.59262971760766,13.0,-799.7762863534676,-776.18365663586,3.4164,9,True
NCC-H2,2034,15.481535741118888,22.2,4.937128751060712,42.6186644921796,36.062,7,True
NCC-Electricity,2034,24.240825699909838,26.8,-0.4804443415875955,50.560381358322246,37.96,5,True
Heat_Pump,2035,10.185220882315058,12.5,-806.3012677106638,-783.6160468283487,3.4164,9,True
NCC-H2,2035,14.768570279356833,21.5,4.47427293064877,40.7428432100056,36.062,7,True
NCC-Electricity,2035,23.171377507266754,26.0,-0.4944843014734244,48.67689320579333,37.96,5,True
Heat_Pump,2036,9.777812047022454,12.0,-810.9619686800896,-789.1841566330671,3.4164,9,True
NCC-H2,2036,14.05560481759478,20.8,4.165702383707475,39.02130720130226,36.062,7,True
NCC-Electricity,2036,22.101929314623675,25.2,-0.5045128442490165,46.797416470374664,37.96,5,True
Heat_Pump,2037,9.370403211729853,11.5,-815.6226696495154,-794.7522664377856,3.4164,9,True
NCC-H2,2037,13.342639355832725,20.1,3.8571318367661807,37.299771192598904,36.062,7,True
NCC-Electricity,2037,21.032481121980595,24.4,-0.5145413870246085,44.917939734955986,37.96,5,True
Heat_Pump,2038,8.962994376437251,11.0,-820.283370618941,-800.3203762425038,3.4164,9,True
NCC-H2,2038,12.629673894070672,19.4,3.548561289824886,35.57823518389556,36.062,7,True
NCC-Electricity,2038,19.963032929337512,23.6,-0.5245699298002007,43.03846299953731,37.96,5,True
Heat_Pump,2039,8.555585541144648,10.5,-824.9440715883669,-805.8884860472223,3.4164,9,True
NCC-H2,2039,11.916708432308617,18.7,3.2399907428835926,33.85669917519221,36.062,7,True
NCC-Electricity,2039,18.893584736694432,22.8,-0.5345984725757926,41.15898626411864,37.96,5,True
Heat_Pump,2040,8.148176705852046,10.0,-829.6047725577927,-811.4565958519406,3.4164,9,True
NCC-H2,2040,11.203742970546564,18.0,2.9314201959422976,32.13516316648886,36.062,7,True
NCC-Electricity,2040,17.82413654405135,22.0,-0.5446270153513848,39.27950952869996,37.96,5,True
Heat_Pump,2041,7.944472288205745,9.8,-833.3333333333334,-815.5888610451276,3.4164,9,True
NCC-H2,2041,10.89818634407711,17.4,2.7385636041039882,31.036749948181097,36.062,7,True
NCC-Electricity,2041,17.213023291112446,21.3,-0.5526498495718584,37.96037344154059,37.96,5,True
Heat_Pump,2042,7.740767870559444,9.6,-837.061894108874,-819.7211262383145,3.4164,9,True
NCC-H2,2042,10.59262971760766,16.8,2.5457070122656797,29.938336729873342,36.062,7,True
NCC-Electricity,2042,16.601910038173543,20.6,-0.5606726837923321,36.64123735438121,37.96,5,True
Heat_Pump,2043,7.537063452913142,9.4,-840.7904548844148,-823.8533914315017,3.4164,9,True
NCC-H2,2043,10.287073091138208,16.2,2.3528504204273704,28.839923511565576,36.062,7,True
NCC-Electricity,2043,15.99079678523464,19.9,-0.5686955180128057,35.32210126722184,37.96,5,True
Heat_Pump,2044,7.333359035266842,9.2,-844.5190156599554,-827.9856566246885,3.4164,9,True
NCC-H2,2044,9.981516464668756,15.6,2.1599938285890614,27.741510293257818,36.062,7,True
NCC-Electricity,2044,15.379683532295736,19.2,-0.5767183522332795,34.00296518006245,37.96,5,True
Heat_Pump,2045,7.12965461762054,9.0,-848.247576435496,-832.1179218178754,3.4164,9,True
NCC-H2,2045,9.675959838199304,15.0,1.9671372367507525,26.643097074950056,36.062,7,True
NCC-Electricity,2045,14.768570279356833,18.5,-0.5847411864537531,32.68382909290308,37.96,5,True
Heat_Pump,2046,6.925950199974239,8.8,-850.1118568232662,-834.3859066232919,3.4164,9,True
NCC-H2,2046,9.370403211729853,14.4,1.851423281647767,25.62182649337762,36.062,7,True
NCC-Electricity,2046,14.15745702641793,17.8,-0.5887526035639898,31.36870442285394,37.96,5,True
Heat_Pump,2047,6.722245782327938,8.6,-851.9761372110366,-836.6538914287087,3.4164,9,True
NCC-H2,2047,9.064846585260401,13.8,1.7357093265447814,24.600555911805184,36.062,7,True
NCC-Electricity,2047,13.546343773479027,17.1,-0.5927640206742266,30.0535797528048,37.96,5,True
Heat_Pump,2048,6.518541364681637,8.4,-853.8404175988069,-838.9218762341252,3.4164,9,True
NCC-H2,2048,8.75928995879095,13.2,1.6199953714417963,23.579285330232743,36.062,7,True
NCC-Electricity,2048,12.935230520540124,16.4,-0.5967754377844636,28.73845508275566,37.96,5,True
Heat_Pump,2049,6.314836947035336,8.2,-855.7046979865772,-841.1898610395419,3.4164,9,True
NCC-H2,2049,8.453733332321498,12.6,1.5042814163388107,22.55801474866031,36.062,7,True
NCC-Electricity,2049,12.324117267601219,15.700000000000001,-0.6007868548947004,27.42333041270652,37.96,5,True
Heat_Pump,2050,6.111132529389034,8.0,-857.5689783743476,-843.4578458449586,3.72008,9,True
NCC-H2,2050,8.148176705852046,12.0,1.3885674612358252,21.53674416708787,36.062,7,True
NCC-Electricity,2050,11.713004014662316,15.0,-0.6047982720049372,26.10820574265738,37.96,5,True
