product,process,company,location,year_built,retirement_year,capacity_kt,emissions_naphtha_kt,emissions_electricity_kt,emissions_lng_kt,emissions_fuel_gas_kt,emissions_byproduct_gas_kt,emissions_lpg_kt,emissions_fuel_oil_kt,emissions_diesel_kt,total_emissions_kt,active_2025
Ethylene,Naphtha Cracker,Lotte Chemical,Daesan,1991,2041,1100,1728.6013180124646,107.97900478078186,73.62765838307268,92.03457297884088,18.40691459576817,0.0,0.0,0.0,2020.649468750928,True
Ethylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,2021,2071,850,1335.7373821005406,83.43832187605871,56.89409965964708,71.11762457455885,14.22352491491177,0.0,0.0,0.0,1561.410953125717,True
Ethylene,Naphtha Cracker,LG Chem,Daesan,1991,2041,1300,2042.8924667420035,127.61155110456038,87.01450536181318,108.7681317022665,21.753626340453295,0.0,0.0,0.0,2388.040281251097,True
Ethylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1991,2041,1525,2396.470009062735,149.6981657188112,102.07470821289624,127.59338526612031,25.51867705322406,0.0,0.0,0.0,2801.3549453137866,True
Ethylene,Naphtha Cracker,Lotte Chemical,Yeosu,1992,2042,1230,1932.890564686665,120.74015989123788,82.32910891925401,102.91138614906752,20.582277229813503,0.0,0.0,0.0,2259.4534968760377,True
Ethylene,Naphtha Cracker,LG Chem,Yeosu,2021,2071,1030,1618.5994159571258,101.10761356745937,68.94226194051352,86.17782742564192,17.23556548512838,0.0,0.0,0.0,1892.0626843758691,True
Ethylene,Naphtha Cracker,Yeochon NCC,Yeosu,1979,2029,2285,3590.7763742349825,224.30184174916957,152.9447267321101,191.18090841513765,38.236181683027525,0.0,0.0,0.0,4197.4400328144275,True
Ethylene,Naphtha Cracker,GS Caltex,Yeosu,2021,2071,900,1414.3101692829252,88.34645845700334,60.240811404332206,75.30101425541527,15.060202851083051,0.0,0.0,0.0,1653.2586562507593,True
Ethylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,1991,2041,900,1414.3101692829252,88.34645845700334,60.240811404332206,75.30101425541527,15.060202851083051,0.0,0.0,0.0,1653.2586562507593,True
Ethylene,Naphtha Cracker,S-Oil,Onsan,2018,2068,182,286.0049453438805,17.86561715463845,12.182030750653844,15.227538438317309,3.045507687663461,0.0,0.0,0.0,334.32563937515357,True
Ethylene,Naphtha Cracker,SK Geocentric,Ulsan,1989,2039,660,1037.1607908074786,64.78740286846912,44.17659502984362,55.22074378730453,11.044148757460905,0.0,0.0,0.0,1212.3896812505566,True
Propylene,Naphtha Cracker,Lotte Chemical,Daesan,1997,2047,550,756.8470635622137,120.89075044542598,32.239989807133355,42.314986621862495,10.074996814729168,0.0,0.0,0.0,962.3677872513648,True
Propylene,Naphtha Cracker,HDHyundai Oilbank,Daesan,2011,2061,420,577.9559394475086,92.3165730674162,24.619628579992742,32.313262511240445,7.693633931247728,0.0,0.0,0.0,734.8990375374059,True
Propylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,2021,2071,451,620.6145921210152,99.1304153652493,26.43679164184935,34.69828902992724,8.261497388077919,0.0,0.0,0.0,789.1415855461189,True
Propylene,Naphtha Cracker,LG Chem,Daesan,1991,2041,680,935.7381876769186,149.46492782343577,39.86035103427397,52.31671073248454,12.456359698210605,0.0,0.0,0.0,1189.8365369653234,True
Propylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1991,2041,1064,1464.155046600355,233.8686517707877,62.36972573598161,81.8602650284758,19.490539292494244,0.0,0.0,0.0,1861.7442284280946,True
Propylene,Naphtha Cracker,Lotte Chemical,Yeosu,1992,2042,641,882.0708504425073,140.89267461003283,37.57424266613178,49.316193499297924,11.741950833166175,0.0,0.0,0.0,1121.5959120511359,True
Propylene,Naphtha Cracker,LG Chem,Yeosu,2021,2071,1300,1788.9112411470503,285.7417737800978,76.20361227140612,100.01724110622044,23.813628834814395,0.0,0.0,0.0,2274.687497139589,True
Propylene,Naphtha Cracker,Yeochon NCC,Yeosu,1979,2029,1289,1773.7742998758063,283.32395877118927,75.55881247526345,99.1709413737832,23.612128898519806,0.0,0.0,0.0,2255.440141394562,True
Propylene,Naphtha Cracker,GS Caltex,Yeosu,2021,2071,970,1334.8030030097223,213.20732351284218,56.859618387126105,74.62824913310294,17.768630745976893,0.0,0.0,0.0,1697.2668247887705,True
Propylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,1991,2041,560,770.6079192633449,123.08876408988829,32.826171439990325,43.08435001498727,10.25817857499697,0.0,0.0,0.0,979.8653833832078,True
Propylene,Naphtha Cracker,S-Oil,Onsan,2018,2068,840,1155.9118788950173,184.6331461348324,49.239257159985485,64.62652502248089,15.387267862495456,0.0,0.0,0.0,1469.7980750748118,True
Propylene,Naphtha Cracker,SK Advanced,Ulsan,2016,2066,600,825.6513420678695,131.88081866773743,35.170897971418206,46.161803587486354,10.990905616068181,0.0,0.0,0.0,1049.8557679105797,True
