product,process,company,location,complex,capacity_kt,year_built,age_2025,remaining_life,retirement_year_40yr,region,data_quality,emission_factor,facility_lifetime
Ethylene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan Complex,1100,1991,34.0,6.0,2031.0,,,,
Ethylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan Complex,850,2021,4.0,36.0,2061.0,,,,
Ethylene,Naphtha Cracker,LG Chem,Daesan,Daesan Complex,1300,1991,34.0,6.0,2031.0,,,,
Ethylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,1525,1991,34.0,6.0,2031.0,,,,
Ethylene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,1230,1992,33.0,7.0,2032.0,,,,
Ethylene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,1030,2021,4.0,36.0,2061.0,,,,
Ethylene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu Complex,2285,1979,46.0,-6.0,2019.0,,,,
Ethylene,Naphtha Cracker,GS Caltex,Yeosu,Yeosu Complex,900,2021,4.0,36.0,2061.0,,,,
Ethylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,Ulsan Complex,900,1991,34.0,6.0,2031.0,,,,
Ethylene,Naphtha Cracker,S-Oil,Onsan,Ulsan Complex,182,2018,7.0,33.0,2058.0,,,,
Ethylene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan Complex,660,1989,36.0,4.0,2029.0,,,,
Propylene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan Complex,550,1997,28.0,12.0,2037.0,,,,
Propylene,Naphtha Cracker,HDHyundai Oilbank,Daesan,Daesan Complex,420,2011,14.0,26.0,2051.0,,,,
Propylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan Complex,451,2021,4.0,36.0,2061.0,,,,
Propylene,Naphtha Cracker,LG Chem,Daesan,Daesan Complex,680,1991,34.0,6.0,2031.0,,,,
Propylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,1064,1991,34.0,6.0,2031.0,,,,
Propylene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,641,1992,33.0,7.0,2032.0,,,,
Propylene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,1300,2021,4.0,36.0,2061.0,,,,
Propylene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu Complex,1289,1979,46.0,-6.0,2019.0,,,,
Propylene,Naphtha Cracker,GS Caltex,Yeosu,Yeosu Complex,970,2021,4.0,36.0,2061.0,,,,
Propylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,Ulsan Complex,560,1991,34.0,6.0,2031.0,,,,
Propylene,Naphtha Cracker,S-Oil,Onsan,Ulsan Complex,840,2018,7.0,33.0,2058.0,,,,
Propylene,Naphtha Cracker,SK Advanced,Ulsan,Ulsan Complex,600,2016,9.0,31.0,2056.0,,,,
Propylene,Naphtha Cracker,SK Energy,Ulsan,Ulsan Complex,620,1996,29.0,11.0,2036.0,,,,
Propylene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan Complex,380,1989,36.0,4.0,2029.0,,,,
Propylene,Naphtha Cracker,Taekwang Industrial,Ulsan,Ulsan Complex,300,1997,28.0,12.0,2037.0,,,,
Propylene,Naphtha Cracker,Hyosung Chemical,Ulsan,Ulsan Complex,500,1991,34.0,6.0,2031.0,,,,
Butadiene,Naphtha Cracker,Lotte Chemical,Daesan,Daesan Complex,190,1997,28.0,12.0,2037.0,,,,
Butadiene,Naphtha Cracker,HD Hyundai Chemical,Daesan,Daesan Complex,163,2021,4.0,36.0,2061.0,,,,
Butadiene,Naphtha Cracker,LG Chem,Daesan,Daesan Complex,200,1991,34.0,6.0,2031.0,,,,
Butadiene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,150,1991,34.0,6.0,2031.0,,,,
Butadiene,Naphtha Cracker,Kumho Petrochemical,Yeosu,Yeosu Complex,147,1992,33.0,7.0,2032.0,,,,
Butadiene,Naphtha Cracker,Lotte GS Chemical,Yeosu,Yeosu Complex,130,2022,3.0,37.0,2062.0,,,,
Butadiene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,160,2011,14.0,26.0,2051.0,,,,
Butadiene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,306,1991,34.0,6.0,2031.0,,,,
Butadiene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu Complex,378,1992,33.0,7.0,2032.0,,,,
Butadiene,Naphtha Cracker,Kumho Petrochemical,Ulsan,Ulsan Complex,90,1979,46.0,-6.0,2019.0,,,,
Butadiene,Naphtha Cracker,Daehan Oil Chemical,Ulsan,Ulsan Complex,146,2023,2.0,38.0,2063.0,,,,
Butadiene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan Complex,130,1989,36.0,4.0,2029.0,,,,
Benzene,BTX Plant,OCI,Gwangyang,Other Regions,200,1995,30.0,10.0,2035.0,,,,
Benzene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,240,2011,14.0,26.0,2051.0,,,,
Benzene,BTX Plant,HD Hyundai Chemical,Daesan,Daesan Complex,410,2016,9.0,31.0,2056.0,,,,
Benzene,BTX Plant,HDHyundai Oilbank,Daesan,Daesan Complex,338,1997,28.0,12.0,2037.0,,,,
Benzene,BTX Plant,LG Chem,Daesan,Daesan Complex,270,1991,34.0,6.0,2031.0,,,,
Benzene,BTX Plant,Hanwha TotalEnergies,Daesan,Daesan Complex,1267,1991,34.0,6.0,2031.0,,,,
Benzene,BTX Plant,Lotte Chemical,Yeosu,Yeosu Complex,235,1992,33.0,7.0,2032.0,,,,
Benzene,BTX Plant,LG Chem,Yeosu,Yeosu Complex,630,1992,33.0,7.0,2032.0,,,,
Benzene,BTX Plant,Yeochon NCC,Yeosu,Yeosu Complex,457,1979,46.0,-6.0,2019.0,,,,
Benzene,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,930,1990,35.0,5.0,2030.0,,,,
Benzene,BTX Plant,Daehan Oil Chemical,Onsan,Ulsan Complex,210,2008,17.0,23.0,2048.0,,,,
Benzene,BTX Plant,S-Oil,Onsan,Ulsan Complex,672,1991,34.0,6.0,2031.0,,,,
Benzene,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,110,1986,39.0,1.0,2026.0,,,,
Benzene,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,603,1972,53.0,-13.0,2012.0,,,,
Benzene,BTX Plant,Ulsan Aromatics,Ulsan,Ulsan Complex,600,2014,11.0,29.0,2054.0,,,,
Benzene,BTX Plant,SK Incheon Petrochemical,Incheon,Other Regions,600,2006,19.0,21.0,2046.0,,,,
Toluene,BTX Plant,OCI,Gwangyang,Other Regions,40,1995,30.0,10.0,2035.0,,,,
Toluene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,120,2011,14.0,26.0,2051.0,,,,
Toluene,BTX Plant,LG Chem,Daesan,Daesan Complex,100,2011,14.0,26.0,2051.0,,,,
Toluene,BTX Plant,Lotte Chemical,Yeosu,Yeosu Complex,220,1992,33.0,7.0,2032.0,,,,
Toluene,BTX Plant,LG Chem,Yeosu,Yeosu Complex,112,1992,33.0,7.0,2032.0,,,,
Toluene,BTX Plant,Yeochon NCC,Yeosu,Yeosu Complex,282,1979,46.0,-6.0,2019.0,,,,
Toluene,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,170,1990,35.0,5.0,2030.0,,,,
Toluene,BTX Plant,Daehan Oil Chemical,Onsan,Ulsan Complex,78,2008,17.0,23.0,2048.0,,,,
Toluene,BTX Plant,S-Oil,Onsan,Ulsan Complex,300,1991,34.0,6.0,2031.0,,,,
Toluene,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,1506,1970,-45.0,85.0,2110.0,,,,
Xylene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,60,2011,14.0,26.0,2051.0,,,,
Xylene,BTX Plant,HD Hyundai Chemical,Daesan,Daesan Complex,1350,2016,9.0,31.0,2056.0,,,,
Xylene,BTX Plant,Lotte Chemical,Yeosu,Yeosu Complex,79,1992,33.0,7.0,2032.0,,,,
Xylene,BTX Plant,LG Chem,Yeosu,Yeosu Complex,60,1992,33.0,7.0,2032.0,,,,
Xylene,BTX Plant,Yeochon NCC,Yeosu,Yeosu Complex,204,1979,46.0,-6.0,2019.0,,,,
Xylene,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,350,1990,35.0,5.0,2030.0,,,,
Xylene,BTX Plant,Daehan Oil Chemical,Onsan,Ulsan Complex,47,2008,17.0,23.0,2048.0,,,,
Xylene,BTX Plant,S-Oil,Onsan,Ulsan Complex,450,1991,34.0,6.0,2031.0,,,,
Xylene,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,894,1970,-45.0,85.0,2110.0,,,,
O-X,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,210,1980,45.0,-5.0,2020.0,,,,
O-X,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,200,1990,35.0,5.0,2030.0,,,,
M-X,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,360,1998,27.0,13.0,2038.0,,,,
P-X,BTX Plant,HDHyundai Oilbank,Daesan,Daesan Complex,1460,1997,28.0,12.0,2037.0,,,,
P-X,BTX Plant,Hanwha TotalEnergies,Daesan,Daesan Complex,2000,1997,28.0,12.0,2037.0,,,,
P-X,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,1350,1990,35.0,5.0,2030.0,,,,
P-X,BTX Plant,S-Oil,Onsan,Ulsan Complex,1900,1997,28.0,12.0,2037.0,,,,
P-X,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,750,1980,45.0,-5.0,2020.0,,,,
P-X,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,830,1990,35.0,5.0,2030.0,,,,
P-X,BTX Plant,Ulsan Aromatics,Ulsan,Ulsan Complex,1000,2014,11.0,29.0,2054.0,,,,
P-X,BTX Plant,SK Incheon Petrochemical,Incheon,Other Regions,1500,2014,11.0,29.0,2054.0,,,,
C-H,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan Complex,160,1974,51.0,-11.0,2014.0,,,,
C-H,Naphtha Cracker,Caprolactam,Ulsan,Ulsan Complex,190,2000,25.0,15.0,2040.0,,,,
