location,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
Yeosu,26423.608970846166,37216,87,26.423608970846168,39.91896543457089
Daesan,22399.001056081695,27424,57,22.399001056081694,33.83886545979297
Ulsan,10417.257609233779,24105,71,10.41725760923378,15.737674096102367
Onsan,6628.949802532627,7331,14,6.628949802532627,10.014560021939785
Incheon,224.3159600744375,2100,2,0.2243159600744375,0.3388810766354337
Gwangyang,94.24586677716331,390,3,0.09424586677716332,0.14238015338403182
Busan/Iksan/Siheung,1.9223844518624071,530,1,0.0019223844518624072,0.002904205802111312
Gunsan,1.3473164105181032,330,3,0.0013473164105181033,0.0020354326799281266
Jeonju,0.7544452188441145,208,3,0.0007544452188441146,0.0011397637864889677
Naju,0.652885285538176,180,2,0.0006528852855381761,0.000986334046000068
진해,0.5130741012193226,100,1,0.0005130741012193226,0.0007751169544835944
Pohang,0.3627140475212089,100,2,0.0003627140475212089,0.0005479633588889268
Gumi,0.18861130471102863,52,1,0.00018861130471102864,0.00028494094662224193
Gimcheon,0.0,0,1,0.0,0.0
