Energy_Source,Consumption_GJ,Consumption_Million_GJ,Consumption_toe,Consumption_Million_toe,Share_of_Total,Korean_Benchmark_Aligned
Naphtha,2349770324.4,2349.7703244,56123300.0,56.1233,82.89999999999999,Yes
Fuel_Gas,317221275.5999999,317.2212755999999,7576699.999999997,7.576699999999997,11.191580502215654,Yes
Electricity,167472000.0,167.472,4000000.0,4.0,5.908419497784342,Yes
