Year,Total_Emissions_MtCO2,Total_Abatement_MtCO2,Emission_Reduction_pct
2023,18.708499999999997,0.0,0.0
2030,15.902225,2.806275,15.0
2040,11.885103,6.823397,36.4721757489911
2050,11.24276,7.46574,39.90560440441511
