year,emissions_mt_co2,active_facilities
2023,30.88784980000001,76
2024,30.625499800000007,74
2025,30.38780980000001,73
2026,29.767799800000013,71
2027,29.767799800000013,71
2028,29.767799800000013,71
2029,29.324234800000013,69
2030,26.11865980000001,62
2031,23.544443800000003,57
2032,23.544443800000003,57
2033,22.4705695,51
2034,22.344857500000003,50
2035,22.3372525,49
2036,21.1551105,43
2037,20.579461499999997,39
2038,20.102843999999997,35
2039,16.607873999999995,30
2040,16.470983999999998,29
2041,13.590893999999997,26
2042,13.590893999999997,26
2043,11.170103999999997,19
2044,10.409909999999998,16
2045,10.409909999999998,16
2046,0.392472,2
2047,0.20761199999999996,1
2048,0.0,0
2049,0.0,0
2050,0.0,0
