year,emissions_mt_co2,active_facilities
2023,9298.766072600003,105
2024,9298.766072600003,105
2025,9004.175272600007,101
2026,8502.482276600005,92
2027,6886.369026600003,78
2028,6766.669794600004,76
2029,6728.484034600005,74
2030,6693.948874600004,73
2031,6631.600074600004,71
2032,6631.600074600004,71
2033,6631.600074600004,71
2034,6454.794378600003,69
2035,5802.462738600002,62
2036,5132.119877000001,57
2037,5132.119877000001,57
2038,4930.848701000001,51
2039,4918.205333000001,50
2040,4915.0401010000005,49
2041,4685.797921,43
2042,4445.291448999999,39
2043,4303.048248999999,35
2044,3678.4316329999992,30
2045,3621.4574569999995,29
2046,3142.0944969999996,26
2047,3142.0944969999996,26
2048,2654.9021609999995,19
2049,2388.2578089999997,16
2050,2388.2578089999997,16
