year,category,value,unit,scenario,figure_type
2025,Baseline,59.247364476043295,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2026,Baseline,54.304252533192134,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2027,Baseline,51.676219412524134,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2028,Baseline,49.47380827895804,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2029,Baseline,47.59467602485922,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2030,Baseline,44.75407056941974,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2031,Baseline,40.28769702116704,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2032,Baseline,39.681981553796085,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2033,Baseline,38.76928696685614,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2034,Baseline,35.994609110491055,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2035,Baseline,32.99413805228635,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2036,Baseline,29.826618600744776,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2037,Baseline,28.634330026635258,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2038,Baseline,22.458611957593316,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2039,Baseline,19.73871747647352,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2040,Baseline,18.62123900697172,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2041,Baseline,17.242022195375974,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2042,Baseline,14.796905190903285,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2043,Baseline,13.091133404730419,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2044,Baseline,11.094104189375228,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2045,Baseline,9.529529352726122,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2046,Baseline,7.104688899165513,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2047,Baseline,4.077459341039117,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2048,Baseline,3.534154272602636,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2049,Baseline,1.6572253478527754,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2050,Baseline,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2025,NCC-H2,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2026,NCC-H2,1.6753981662075375,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
