year,category,value,unit,scenario,figure_type
2025,Yeosu,22.409780310492522,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,Yeosu,22.629175078923517,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,Yeosu,22.30774360042675,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,Yeosu,21.986312121929988,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,Yeosu,21.664880643433225,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,Yeosu,19.495746369059646,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,Yeosu,15.78357849927849,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,Yeosu,15.503931677122148,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,Yeosu,15.224284854965806,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,Yeosu,14.061172938521594,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,Yeosu,12.959294909943505,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,Yeosu,10.603244325532987,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,Yeosu,10.010022733309611,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,Yeosu,9.418919789629891,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,Yeosu,8.827816845950169,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,Yeosu,8.234595253726793,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,Yeosu,7.940103106158761,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,Yeosu,6.255610131784526,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2043,Yeosu,5.953071913774298,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,Yeosu,4.727741804668898,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2045,Yeosu,4.4212865996102515,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2046,Yeosu,2.2390712497380933,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2047,Yeosu,1.9247392953730353,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2048,Yeosu,1.5103419412833714,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2049,Yeosu,0.724787701470468,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2050,Yeosu,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2025,Daesan,17.217485657279862,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,Daesan,15.453299246766676,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,Daesan,15.23514815294663,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,Daesan,13.753975935914342,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,Daesan,11.885443981475655,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,Daesan,11.651409951193994,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,Daesan,11.464451731601175,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,Daesan,11.277493512008354,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,Daesan,11.090535292415534,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,Daesan,10.388348715948142,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,Daesan,9.646944901937424,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,Daesan,9.262924937953697,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,Daesan,8.877528558328454,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,Daesan,7.864711224992693,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,Daesan,5.9787819638297774,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,Daesan,4.610202629437491,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,Daesan,3.621980985617029,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,Daesan,3.4125088029059576,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
