year,category,value,unit,figure_type
2025,shaheen_ncc_h2_flat_coupled,0.0,billion_USD,line
2026,shaheen_ncc_h2_flat_coupled,2.079798,billion_USD,line
2027,shaheen_ncc_h2_flat_coupled,4.29358825,billion_USD,line
2028,shaheen_ncc_h2_flat_coupled,6.57510315,billion_USD,line
2029,shaheen_ncc_h2_flat_coupled,9.0443682,billion_USD,line
2030,shaheen_ncc_h2_flat_coupled,11.6443572,billion_USD,line
2031,shaheen_ncc_h2_flat_coupled,14.74424315,billion_USD,line
2032,shaheen_ncc_h2_flat_coupled,17.78796425,billion_USD,line
2033,shaheen_ncc_h2_flat_coupled,20.7755205,billion_USD,line
2034,shaheen_ncc_h2_flat_coupled,23.9461418,billion_USD,line
2035,shaheen_ncc_h2_flat_coupled,27.3735581,billion_USD,line
2036,shaheen_ncc_h2_flat_coupled,30.82474605,billion_USD,line
2037,shaheen_ncc_h2_flat_coupled,34.317572625,billion_USD,line
2038,shaheen_ncc_h2_flat_coupled,39.955908545,billion_USD,line
2039,shaheen_ncc_h2_flat_coupled,45.48462198,billion_USD,line
2040,shaheen_ncc_h2_flat_coupled,51.14440793,billion_USD,line
2041,shaheen_ncc_h2_flat_coupled,56.689338895,billion_USD,line
2042,shaheen_ncc_h2_flat_coupled,62.335476875,billion_USD,line
2043,shaheen_ncc_h2_flat_coupled,67.95704062,billion_USD,line
2044,shaheen_ncc_h2_flat_coupled,73.64258013,billion_USD,line
2045,shaheen_ncc_h2_flat_coupled,79.328782155,billion_USD,line
2046,shaheen_ncc_h2_flat_coupled,85.093007195,billion_USD,line
2047,shaheen_ncc_h2_flat_coupled,90.901489525,billion_USD,line
2048,shaheen_ncc_h2_flat_coupled,96.628810145,billion_USD,line
2049,shaheen_ncc_h2_flat_coupled,102.45523673,billion_USD,line
2050,shaheen_ncc_h2_flat_coupled,108.18508183,billion_USD,line
2025,shaheen_ncc_h2_flat_decoupled,0.0,billion_USD,line
2026,shaheen_ncc_h2_flat_decoupled,2.079798,billion_USD,line
2027,shaheen_ncc_h2_flat_decoupled,4.35839075,billion_USD,line
2028,shaheen_ncc_h2_flat_decoupled,6.74899925,billion_USD,line
2029,shaheen_ncc_h2_flat_decoupled,9.1874972,billion_USD,line
2030,shaheen_ncc_h2_flat_decoupled,11.7874862,billion_USD,line
2031,shaheen_ncc_h2_flat_decoupled,14.8470819,billion_USD,line
2032,shaheen_ncc_h2_flat_decoupled,17.8512453,billion_USD,line
2033,shaheen_ncc_h2_flat_decoupled,20.83880155,billion_USD,line
2034,shaheen_ncc_h2_flat_decoupled,24.03098075,billion_USD,line
2035,shaheen_ncc_h2_flat_decoupled,27.45839705,billion_USD,line
2036,shaheen_ncc_h2_flat_decoupled,31.08044625,billion_USD,line
2037,shaheen_ncc_h2_flat_decoupled,34.63027085,billion_USD,line
2038,shaheen_ncc_h2_flat_decoupled,40.20600997,billion_USD,line
2039,shaheen_ncc_h2_flat_decoupled,45.874712905,billion_USD,line
2040,shaheen_ncc_h2_flat_decoupled,51.430814855,billion_USD,line
2041,shaheen_ncc_h2_flat_decoupled,56.97393457,billion_USD,line
2042,shaheen_ncc_h2_flat_decoupled,62.62556265,billion_USD,line
2043,shaheen_ncc_h2_flat_decoupled,68.29056822,billion_USD,line
2044,shaheen_ncc_h2_flat_decoupled,73.99656278,billion_USD,line
2045,shaheen_ncc_h2_flat_decoupled,79.68788058,billion_USD,line
