category,value,unit,figure_type
S-Oil Shaheen,56.283,billion_USD,bar
LG Chem,46.2744,billion_USD,bar
GS Caltex,35.343,billion_USD,bar
HD Hyundai Chemical,27.6696,billion_USD,bar
S-Oil,17.4762,billion_USD,bar
SK Advanced,9.54,billion_USD,bar
Lotte Chemical,9.1905,billion_USD,bar
HDHyundai Oilbank,5.418,billion_USD,bar
Daehan Oil Chemical,4.2486,billion_USD,bar
Lotte GS Chemical,2.535,billion_USD,bar
