technology,year,description,applicable_facilities,abatement_potential_tco2,abatement_potential_mtco2,capex_usd_per_tco2,opex_usd_per_tco2,fuel_savings_usd_per_tco2,net_cost_usd_per_tco2,total_capex_musd,total_opex_musd,total_fuel_savings_musd,total_net_cost_musd,capex_multiplier,cumulative_abatement_tco2,cumulative_abatement_mtco2,cumulative_cost_musd
Efficiency_Upgrade,2040,"Energy efficiency improvements (heat integration, optimization)",32,6145123.016651672,6.145123016651672,68.0,20,45,43.0,417.8683651323137,122.90246033303345,276.5305357493253,264.24028971602183,0.85,6145123.016651672,6.145123016651672,264.24028971602183
Early_Retirement,2040,Early retirement of oldest/least efficient facilities,27,5077584.284048373,5.077584284048373,0.0,50,0,50.0,0.0,253.87921420241867,0.0,253.87921420241867,1.0,11222707.300700046,11.222707300700046,518.1195039184405
Fuel_Switch,2040,"Switch from naphtha/LNG to cleaner fuels (renewable electricity, biomass)",41,13325803.2534427,13.325803253442698,150.0,30,-20,200.0,1998.8704880164048,399.77409760328095,-266.51606506885395,2665.1606506885396,1.0,24548510.554142743,24.548510554142744,3183.28015460698
Electrification,2040,Electrification of thermal processes with renewable electricity,41,10660642.60275416,10.66064260275416,200.0,40,-10,250.0,2132.1285205508325,426.4257041101664,-106.6064260275416,2665.1606506885405,1.0,35209153.156896904,35.2091531568969,5848.4408052955205
Bio_Naphtha,2040,Replace fossil naphtha with bio-based naphtha feedstock,41,7995481.952065619,7.995481952065619,144.0,80,-70,294.0,1151.3494010974491,639.6385561652495,-559.6837366445934,2350.671693907292,1.2,43204635.10896252,43.20463510896252,8199.112499202813
Process_Replacement,2040,Replace entire process with low-carbon alternative technology,27,2911563.667172114,2.9115636671721137,455.0,70,20,505.0,1324.7614685633118,203.80945670204798,58.231273343442275,1470.3396519219175,1.3,46116198.77613463,46.11619877613463,9669.45215112473
Green_Hydrogen,2040,Use green hydrogen for high-temperature processes,41,6396385.5616524955,6.396385561652496,375.0,100,-50,525.0,2398.6445856196856,639.6385561652496,-319.8192780826248,3358.10241986756,1.5,52512584.33778713,52.51258433778713,13027.55457099229
