technology,cost_per_tco2,abatement_deployed_tco2,total_cost_usd,cumulative_abatement_tco2,cumulative_cost_usd
Early_Retirement,50,5200000.0,260000000.0,5200000.0,260000000.0
Efficiency_Upgrade,100,7800000.0,780000000.0,13000000.0,1040000000.0
Fuel_Switch,200,13000000.0,2600000000.0,26000000.0,3640000000.0
