year,baseline_emissions_mt,marginal_cost_usd_per_tco2,total_investment_busd,carbon_price_usd_per_tco2,technologies_deployed
2025,110.0,140.0,7.7,50,3
2030,169.85945374277185,144.0,12.229880669479572,100,4
2040,204.51324232446422,140.0,14.315926962712494,200,3
2050,242.7004423244642,140.0,16.989030962712494,350,3
