year,emissions_mtco2,active_facilities,retired_facilities
2025,35.704602727541456,15,26
2026,34.89040751411937,14,27
2027,34.89040751411937,14,27
2028,34.89040751411937,14,27
2029,34.89040751411937,14,27
2030,34.89040751411937,14,27
2031,34.89040751411937,14,27
2032,34.89040751411937,14,27
2033,34.89040751411937,14,27
2034,34.89040751411937,14,27
2035,34.89040751411937,14,27
2036,34.89040751411937,14,27
2037,32.40496949419929,12,29
2038,32.40496949419929,12,29
2039,32.40496949419929,12,29
2040,32.40496949419929,12,29
2041,32.40496949419929,12,29
2042,29.833826714971632,11,30
2043,29.833826714971632,11,30
2044,25.45431351435385,9,32
2045,25.45431351435385,9,32
2046,25.45431351435385,9,32
2047,1.1827256784447242,2,39
2048,0.6256447429453976,1,40
2049,0.0,0,41
2050,0.0,0,41
