facility_id,company,location,process,capacity_1000_t,startup_year,retirement_year,baseline_emissions_tco2,age_at_retirement
0,Lotte Chemical,Daesan,Naphtha Cracker,1100,1991,2041,2284393.747424626,50
1,HD현대케미칼,Daesan,Naphtha Cracker,850,2021,2071,1765213.3502826658,50
2,LG Chem,Daesan,Naphtha Cracker,1300,1991,2041,2699738.0651381947,50
3,한화토탈에너지스,Daesan,Naphtha Cracker,1525,1991,2041,3167000.4225659585,50
4,Lotte Chemical,Yeosu,Naphtha Cracker,1230,1992,2042,2554367.5539384456,50
5,LG Chem,Yeosu,Naphtha Cracker,1030,2021,2071,2139023.236224877,50
6,여천NCC,Yeosu,Naphtha Cracker,2285,1979,2029,4745308.829877518,50
7,GS Caltex,Yeosu,Naphtha Cracker,900,2021,2071,1869049.4297110578,50
8,대한유화,Onsan,Naphtha Cracker,900,1991,2041,1869049.4297110578,50
9,S-Oil,Onsan,Naphtha Cracker,182,2018,2068,377963.3291193472,50
10,SK지오센트릭,Ulsan,Naphtha Cracker,660,1989,2039,1370636.2484547757,50
11,Lotte Chemical,Daesan,Naphtha Cracker,550,1997,2047,1142196.873712313,50
12,HDHyundai Oilbank,Daesan,Naphtha Cracker,420,2011,2061,872223.0671984935,50
13,HD현대케미칼,Daesan,Naphtha Cracker,451,2021,2071,936601.4364440967,50
14,LG Chem,Daesan,Naphtha Cracker,680,1991,2041,1412170.6802261323,50
15,한화토탈에너지스,Daesan,Naphtha Cracker,1064,1991,2041,2209631.770236184,50
16,Lotte Chemical,Yeosu,Naphtha Cracker,641,1992,2042,1331178.5382719866,50
17,LG Chem,Yeosu,Naphtha Cracker,1300,2021,2071,2699738.0651381947,50
18,여천NCC,Yeosu,Naphtha Cracker,1289,1979,2029,2676894.127663948,50
19,GS Caltex,Yeosu,Naphtha Cracker,970,2021,2071,2014419.9409108064,50
20,대한유화,Onsan,Naphtha Cracker,560,1991,2041,1162964.0895979914,50
21,S-Oil,Onsan,Naphtha Cracker,840,2018,2068,1744446.134396987,50
22,SK어드밴스드,Ulsan,Naphtha Cracker,600,2016,2066,1246032.9531407051,50
23,SK에너지,Ulsan,Naphtha Cracker,620,1996,2046,1287567.384912062,50
24,SK지오센트릭,Ulsan,Naphtha Cracker,380,1989,2039,789154.20365578,50
25,태광산업,Ulsan,Naphtha Cracker,300,1997,2047,623016.4765703526,50
26,효성화학,Ulsan,Naphtha Cracker,500,1991,2041,1038360.7942839209,50
27,Lotte Chemical,Daesan,Naphtha Cracker,190,1997,2047,394577.10182789,50
28,HD현대케미칼,Daesan,Naphtha Cracker,163,2021,2071,338505.6189365582,50
29,LG Chem,Daesan,Naphtha Cracker,200,1991,2041,415344.3177135684,50
30,한화토탈에너지스,Daesan,Naphtha Cracker,150,1991,2041,311508.2382851763,50
31,Kumho Petrochemical,Yeosu,Naphtha Cracker,147,1992,2042,305278.07351947273,50
32,롯데GS화학,Yeosu,Naphtha Cracker,130,2022,2072,269973.80651381944,50
33,Lotte Chemical,Yeosu,Naphtha Cracker,160,2011,2061,332275.4541708547,50
34,LG Chem,Yeosu,Naphtha Cracker,306,1991,2041,635476.8061017595,50
35,여천NCC,Yeosu,Naphtha Cracker,378,1992,2042,785000.7604786442,50
36,Kumho Petrochemical,Ulsan,Naphtha Cracker,90,1979,2029,186904.94297110575,50
37,대한유화,Ulsan,Naphtha Cracker,146,2023,2073,303201.3519309049,50
38,SK지오센트릭,Ulsan,Naphtha Cracker,130,1989,2039,269973.80651381944,50
