scenario,year,emissions_mtco2,active_facilities,retirement_rate_pct
25-year,2025,35.704602727541456,15,63.41463414634146
25-year,2030,34.89040751411937,14,65.85365853658537
25-year,2040,32.40496949419929,12,70.73170731707317
25-year,2050,0.0,0,100.0
30-year,2025,42.81809775007131,19,53.65853658536586
30-year,2030,35.704602727541456,15,63.41463414634146
30-year,2040,34.89040751411937,14,65.85365853658537
30-year,2050,25.45431351435385,9,78.04878048780488
40-year,2025,93.60245287778301,37,9.75609756097561
40-year,2030,88.58872445828908,34,17.073170731707318
40-year,2040,35.704602727541456,15,63.41463414634146
40-year,2050,34.89040751411937,14,65.85365853658537
50-year,2025,109.30356478293326,40,2.4390243902439024
50-year,2030,93.60245287778301,37,9.75609756097561
50-year,2040,88.58872445828908,34,17.073170731707318
50-year,2050,35.704602727541456,15,63.41463414634146
