technology,year,description,abatement_potential_mtco2,capex_usd_per_tco2,opex_usd_per_tco2,fuel_cost_usd_per_tco2,fuel_savings_usd_per_tco2,carbon_benefit_usd_per_tco2,net_cost_usd_per_tco2,total_capex_musd,total_fuel_cost_musd,total_carbon_benefit_musd,technology_maturity,cumulative_abatement_mtco2,cumulative_cost_musd
Fuel_Switch_Biomass,2040,Switch from fossil fuels to biomass for thermal processes,8.0,120,25,108.0,168.0,120.0,-35.0,960.0,864.0,960.0,Commercial,8.0,-280.0
Early_Retirement,2040,Early retirement of oldest/least efficient facilities,5.2,0,50,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Commercial,13.2,-20.0
Bio_Naphtha,2040,Replace fossil naphtha with bio-naphtha feedstock,10.0,80,20,396.0,324.0,102.0,70.0,800.0,3960.0,1020.0,Demonstration,23.2,680.0
Electrification_Renewable,2040,Electrification with renewable electricity,12.5,180,30,251.99999999999997,168.0,120.0,174.0,2250.0,3149.9999999999995,1500.0,Demonstration,35.7,2855.0
Process_Replacement_Electric,2040,Replace thermal processes with electric alternatives,6.0,300,50,378.0,360.0,120.0,248.0,1800.0,2268.0,720.0,Research,41.7,4343.0
Green_Hydrogen_Thermal,2040,Green hydrogen for high-temperature thermal processes,7.5,200,40,1575.0,210.0,120.0,1485.0,1500.0,11812.5,900.0,Pre-commercial,49.2,15480.5
