region,capacity_t,emissions_tco2,fuel_cost_usd,age_years,retirement_priority,remaining_life,stranded_asset_risk,replacement_benefit,facility_count,emission_intensity,companies_count,Naphtha Cracker_facilities
여수,10766000,46134871.94,29752624576.66,22.38,0.37,11.31,0.6,4996158943.84,13,4.2852,6,13
대산,8643000,37037311.73,23885559559.36,24.62,0.38,7.54,0.64,4748257927.54,13,4.2852,5,13
울산,3776000,16181058.56,10435250826.81,30.18,0.49,5.18,0.67,2107480031.37,11,4.2852,8,11
온산,2482000,10635960.63,6859187646.23,20.5,0.35,11.5,0.59,1157442774.45,4,4.2852,2,4
