technology,cost_per_tco2,abatement_deployed,total_cost,cumulative_abatement,cumulative_cost
Early_Retirement,50,24270044.23244642,1213502211.6223211,24270044.23244642,1213502211.6223211
Efficiency_Upgrade,100,36405066.348669626,3640506634.8669624,60675110.58111605,4854008846.489284
Fuel_Switch,200,60675110.58111605,12135022116.22321,121350221.1622321,16989030962.712494
